codigo_catmat,descricao_produto,unidade_apresentacao,registros,valor_total,quantidade_total,instituicoes,fornecedores,preco_ponderado
395517,"CANAQUINUMABE, CONCENTRAÇÃO:150 MG, FORMA FARMACÊUTICA:PÓ LIÓFILO P/ INJETÁVEL",FRASCO-AMPOLA,20,412733188.75,10501.0,9,7,39304.17948290639
452740,"OMALIZUMABE, CONCENTRAÇÃO:150 MG, FORMA FARMACÊUTICA:INJETÁVEL",FRASCO-AMPOLA,81,370407922.6272,223799.0,42,22,1655.0919469130783
390008,"CETUXIMABE, CONCENTRAÇAO:5 MG/ML, FORMA FARMACEUTICA:SOLUÇÃO INJETÁVEL","FRASCO 20,00 ML",21,368929301.28,563001.0,10,11,655.290667831851
457885,"MEPOLIZUMABE, CONCENTRAÇÃO:100 MG/ML, FORMA FARMACÊUTICA:INJETÁVEL",SERINGA,20,365463571.12,180822.0,12,10,2021.1233761378594
450888,"OCRELIZUMABE, CONCENTRAÇÃO:30 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO P/ INFUSÃO","FRASCO 10,00 ML",39,339656775.98,10811.0,18,10,31417.701968365556
268106,"GABAPENTINA, DOSAGEM:400 MG",CÁPSULA,60,320412803.696,1009208126.0,38,39,0.31748932201522917
430404,"IBRUTINIBE, CONCENTRAÇÃO:140 MG",CÁPSULA,19,307477607.4286,332136.0,13,8,925.7581455445962
268949,"AZITROMICINA, DOSAGEM:40 MG/ML, APRESENTAÇÃO:SUSPENSÃO ORAL","FRASCO 15,00 ML",700,301055264.4938,56005894.0,358,199,5.375421102889635
400563,"USTEQUINUMABE, CONCENTRAÇÃO:90 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL",SERINGA,37,280148482.8,18689.0,18,13,14990.019947562738
414435,"CERTOLIZUMABE PEGOL, CONCENTRAÇÃO:200 MG, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL, CARACTERÍSTICA ADICIONAL:SERINGA PREENCHIDA, COM LENÇO UMIDECIDO",SERINGA,11,279532895.4401,379861.0,5,6,735.8820606487636
455337,"DUPILUMABE, CONCENTRAÇÃO:150 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL, ADICIONAL:SERINGA PREENCHIDA","SERINGA 2,00 ML",43,273710591.82,70482.0,15,17,3883.411251383332
268971,"POLIMIXINA B, DOSAGEM:500.000UI, APRESENTAÇÃO:INJETÁVEL",FRASCO-AMPOLA,56,273485566.835,14864120.0,34,35,18.39904190998189
383436,"AZACITIDINA, CONCENTRAÇÃO:100 MG, FORMA FARMACÊUTICA:PÓ LIÓFILO P/ INJETÁVEL",FRASCO-AMPOLA,24,272004413.121,595920.0,12,12,456.4445112112364
436461,"VEDOLIZUMABE, CONCENTRAÇÃO:300 MG, FORMA FARMACÊUTICA:PÓ LIÓFILO P/ INJETÁVEL",FRASCO-AMPOLA,42,258804577.35,17393.0,18,12,14879.812415914448
305935,"PROPOFOL, DOSAGEM:10 MG/ML, FORMA FARMACÊUTICA:EMULSÃO INJETÁVEL","AMPOLA 20,00 ML",144,255213512.929,35297467.0,97,78,7.230363383553839
291549,"ATORVASTATINA CÁLCICA, DOSAGEM:80 MG",COMPRIMIDO,45,249088220.2013,56264112.0,24,30,4.42712434884425
400776,"TRIPTORRELINA, COMPOSIÇÃO:SAL EMBONATO, CONCENTRAÇÃO:11,25 MG, FORMA FARMACEUTICA:PÓ LIÓFILO P/ INJETÁVEL",FRASCO-AMPOLA,15,246347426.61,222071.0,8,10,1109.3183108555372
276234,"INSULINA, ORIGEM:ASPART, DOSAGEM:100U/ML, APLICAÇÃO:INJETÁVEL","TUBETE 3,00 ML",79,244590097.98,9567280.0,43,30,25.565270168741794
305488,"METILFENIDATO CLORIDRATO, DOSAGEM:20 MG, FORMA FARMACÊUTICA:MICROGRÂNULOS DE LIBERAÇÃO MODIFICADA",CÁPSULA,104,234052448.823,31751610.0,54,46,7.37135687995034
448616,"HIDRÓXIDO DE FERRO III, CONCENTRAÇÃO:20 MG/ML, FORMA FARMACEUTICA:SOLUÇÃO INJETÁVEL","AMPOLA 5,00 ML",223,229872218.8091,33627600.0,136,113,6.8358199457915525
297775,"ENZIMAS PANCREÁTICAS, PRINCÍPIO ATIVO:PANCREATINA ( AMILASE + LIPASE + PROTEASE ), DOSAGEM:10.000 UI",COMPRIMIDO,3,227528759.36,14042989.0,2,3,16.20230275477678
311390,"BEVACIZUMABE, CONCENTRAÇÃO:25 MG/ML, FORMA FARMACEUTICA:SOLUÇÃO INJETÁVEL","FRASCO 4,00 ML",26,223119284.45,254866.0,14,13,875.4376199650012
268520,"RITUXIMABE, DOSAGEM:10MG/ML, INDICAÇÃO:SOLUÇÃO INJETÁVEL","FRASCO 50,00 ML",54,210993859.7653,293458.0,26,34,718.9916777368483
294887,"SALBUTAMOL, DOSAGEM:100MCG/DOSE, FORMA FARMACÊUTICA:AEROSOL ORAL","FRASCO 200,00 DOSES",667,202806107.4173,858049198.0,336,211,0.23635720176653552
448702,"ETANERCEPTE, CONCENTRAÇAO:50 MG/ML, FORMA FARMACEUTICA:SOLUÇÃO INJETÁVEL, CARACTERÍSTICAS ADICIONAIS:SERINGA PREENCHIDA","SERINGA 1,00 ML",7,198914298.6,508672.0,5,4,391.0462903403372
339847,"CEFEPIMA CLORIDRATO, CONCENTRAÇÃO:2 G, FORMA FARMACEUTICA:PÓ LIÓFILO P/ INJETÁVEL",FRASCO-AMPOLA,52,198315341.463,15185604.0,19,33,13.059430593804501
294881,"ILOPROSTA, CONCENTRAÇÃO:10 MCG/ML, FORMA FARMACÊUTICA:SOLUÇÃO P/ NEBULIZAÇÃO","AMPOLA 1,00 ML",28,195002791.48,4362575.0,13,7,44.699011817561875
448982,"ENOXAPARINA, CONCENTRAÇÃO:100 MG/ML, FORMA FARMACEUTICA:SOLUÇÃO INJETÁVEL, CARACTERÍSTICAS ADICIONAIS 1:SERINGA PREENCHIDA",SERINGA,921,192634198.4159,8297949.0,259,256,23.214676110434034
410019,"ELTROMBOPAG OLAMINA, CONCENTRAÇÃO:25 MG",COMPRIMIDO,30,187354266.2,1601310.0,15,14,117.00062211564281
482292,"TRASTUZUMABE, COMPOSIÇÃO:DERUXTECANA, CONCENTRAÇÃO:100 MG, FORMA FARMACÊUTICA:PÓ LIOFILO INJETÁVEL",FRASCO-AMPOLA,28,184974253.6,13358.0,9,7,13847.451235214852
305257,"LEUPRORRELINA ACETATO, CONCENTRAÇÃO:3,75 MG, FORMA FARMACÊUTICA:PÓ LIÓFILO P/INJETÁVEL",FRASCO-AMPOLA,53,179510520.525,625111.0,23,34,287.1658321882034
400775,"TRIPTORRELINA, COMPOSIÇÃO:SAL EMBONATO, CONCENTRAÇÃO:3,75 MG, FORMA FARMACEUTICA:PÓ LIÓFILO P/ INJETÁVEL",FRASCO-AMPOLA,15,175648472.3844,493702.0,11,9,355.77832859579263
268108,"GOSSERRELINA ACETATO, DOSAGEM:10,80 MG, INDICAÇÃO:SOLUÇÃO INJETÁVEL",SERINGA,32,174888021.21,278238.0,18,11,628.5554856274125
437993,"UMECLIDÍNIO BROMETO, COMPOSIÇÃO:ASSOCIADO AO TRIFENATATO DE VILANTEROL, CONCENTRAÇÃO:62,5 MCG/DOSE + 25 MCG/DOSE, FORMA FARMACÊUTICA:PÓ INALANTE, ADICIONAL:COM INALADOR","FRASCO 30,00 DOSES",55,172407973.6232,47910082.0,34,31,3.5985739624323747
430403,"TRASTUZUMABE, COMPOSIÇÃO:ENTANSINA, CONCENTRAÇÃO:100 MG, FORMA FARMACÊUTICA:PÓ LIOFILO INJETÁVEL",FRASCO-AMPOLA,26,171126828.02,25953.0,9,10,6593.7204955111165
305260,"LEUPRORRELINA ACETATO, CONCENTRAÇÃO:11,25 MG, FORMA FARMACÊUTICA:PÓ LIÓFILO P/INJETÁVEL",FRASCO-AMPOLA,7,168440965.5616,211079.0,4,4,797.9996378682863
308877,"SEVOFLURANO, FORMA FARMACÊUTICA:LÍQUIDO INALANTE","FRASCO 250,00 ML",95,164426004.22,781230.0,51,42,210.47067345084034
433218,"INSULINA, TIPO:DEGLUDECA, CONCENTRAÇÃO:100 UI/ML, FORMA FARMACEUTICA:SOLUÇÃO INJETÁVEL, CARACTERISTICA ADICIONAL:COM APLICADOR","FRASCO 3,00 ML",123,161711086.707,1493901.0,62,41,108.24752557699605
