municipio_uf,registros,valor_total,quantidade_total,instituicoes,fornecedores,preco_ponderado
ARTUR NOGUEIRA / SP,159,173111.02,171333.0,1,22,1.0103775688279548
MORAUJO / CE,43,171488.0,31944.0,1,4,5.36839469070874
MILTON BRANDAO / PI,130,169520.78,444069.0,1,2,0.38174423344119945
SAO MIGUEL DE TAIPU / PB,52,169157.18,655520.0,1,4,0.25805037222357824
JACUIPE / AL,21,167791.75,205950.0,1,1,0.8147208060208788
GARARU / SE,51,161058.6,483411.0,1,6,0.3331711524975642
IGUARACU / PR,68,158602.79,93399.0,1,7,1.6981208578250304
IBIRACU / ES,63,156667.858,607735.0,1,26,0.25778975704871365
RIO CLARO / SP,12,156656.0,485460.0,1,7,0.3226959996704157
CATINGUEIRA / PB,99,151301.55,350310.0,1,5,0.4319075961291427
JARDIM DO MULATO / PI,84,147859.48,64152.0,1,7,2.3048304027933657
SALGADINHO / PB,827,144518.1125,703826.0,2,7,0.2053321595110155
SAO JOSE DO BONFIM / PB,94,141100.1,422190.0,1,4,0.3342099528648239
PEDRO GOMES / MS,61,140904.115,462122.0,1,4,0.30490674540489304
AGUA DOCE DO NORTE / ES,97,140518.358,47356.0,2,8,2.9672767547934793
CAPIM / PB,143,139411.55,368210.0,1,4,0.37861967355585124
FENIX / PR,65,137157.53,120079.0,1,7,1.142227450261911
TAILANDIA / PA,14,136372.6,21924.0,1,5,6.220242656449553
SANTA TERESINHA / PB,45,131154.5,1051900.0,1,6,0.12468342998383877
JANDAIA DO SUL / PR,52,130823.1,252960.0,1,6,0.5171691176470589
CANDIDO DE ABREU / PR,31,130200.42,456200.0,1,8,0.2854020604997808
SALTINHO / SP,6,124236.0,140204.0,1,4,0.8861088128726713
RIO GRANDE DO PIAUI / PI,69,122533.05,215985.0,1,1,0.5673220362525175
SONORA / MS,29,121027.76,283120.0,1,2,0.4274786662899124
JACARAU / PB,28,120690.0,454500.0,1,1,0.26554455445544556
MARILANDIA / ES,2,120325.0,72500.0,1,1,1.6596551724137931
AREIA DE BARAUNAS / PB,118,111559.576,456000.0,1,2,0.24464819298245613
SOORETAMA / ES,37,109578.395,201290.0,1,3,0.5443807193601272
CROATA / CE,168,106198.48,29923.0,1,1,3.5490585836981583
RIO VERDE DE MATO GROSSO / MS,5,105139.2,51281.0,1,3,2.05025643025682
CANDELARIA / RS,41,104878.594,780562.0,1,13,0.13436292568687688
CANAPOLIS / MG,13,100258.4,67105.0,1,5,1.4940526041278592
REALEZA / PR,76,91994.965,47254.0,1,9,1.9468185762051888
CAJUEIRO DA PRAIA / PI,74,91558.6,215860.0,1,1,0.4241573241916057
VIANOPOLIS / GO,14,87890.0,1070.0,1,1,82.14018691588785
SAO MIGUEL DO FIDALGO / PI,45,82942.134,17942.0,1,2,4.622791996432951
GUARULHOS / SP,4,78023.4,53040.0,1,4,1.4710294117647058
JANIOPOLIS / PR,43,76079.6452,19931.0,1,6,3.8171514324419245
ARAPOTI / PR,2,74750.0,250.0,1,1,299.0
CAXINGO / PI,54,74370.35,301875.0,1,1,0.24636140786749483
NOVA MUTUM / MT,5,74049.44,860.0,1,3,86.104
VILA FLORES / RS,20,73776.35,173750.0,1,8,0.4246120863309353
LEOPOLIS / PR,58,73578.48,43314.0,1,7,1.6987228147942928
PARAISO DAS AGUAS / MS,1,70000.0,1.0,1,1,70000.0
RIO TINTO / PB,133,66028.52,160189.0,1,6,0.41219134896903037
PINHAO / PR,20,65026.47,116930.0,1,2,0.5561145129564697
PIRACANJUBA / GO,11,64775.45,153675.0,1,2,0.4215093541564991
RIBEIROPOLIS / SE,12,62820.0,921200.0,1,4,0.06819366044290057
DESCANSO / SC,8,61695.0,200150.0,1,6,0.30824381713714716
MANAIRA / PB,58,57812.5,368100.0,1,7,0.15705650638413474
RONCADOR / PR,15,57620.8,99095.0,1,3,0.5814703062717594
GUARAI / TO,36,55219.114,123555.0,1,9,0.4469192990975679
CHARQUEADAS / RS,8,51696.72,287140.0,1,5,0.1800401198021871
