fornecedor_id,fornecedor,registros,valor_total,quantidade_total,instituicoes,fornecedores,preco_ponderado
05782733000149,CIAMED - DISTRIBUIDORA DE MEDICAMENTOS LTDA.,1812,390073149.0758,364939472.0,150,1,1.0688708101046411
61282661000141,LABORATORIO QUIMICO FARMACEUTICO BERGAMO LTDA,70,370220077.2456,44738343.0,11,1,8.27522997992125
33069212001237,MERCK S/A,25,365840314.55,27297643.0,10,1,13.40190120260566
04301884000175,AUROBINDO PHARMA INDUSTRIA FARMACEUTICA LIMITADA,79,359910160.9654,52922109.0,23,1,6.80075242211908
44734671002286,CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA,2659,355409144.9724,669614334.0,78,1,0.53076693094267
10588595001335,SANOFI MEDLEY FARMACEUTICA LTDA,30,352056094.88,1103199.0,4,1,319.12292784891935
57507378000365,EMS S/A,99,338766218.4157,217890891.0,16,1,1.5547516321629986
60831658002110,BOEHRINGER INGELHEIM DO BRASIL QUIMICA E FARMACEUTICA LTDA.,18,327883137.22,77629352.0,3,1,4.223700556201989
36325157000134,COSTA CAMARGO COM. DE PRODUTOS HOSPITALARES LTDA,677,321731555.4822,280104157.0,64,1,1.1486139974788023
07752236000123,MEDILAR IMPORTACAO E DISTRIBUICAO DE PRODUTOS MEDICO HOSPITALARES S/A,2897,302679953.6599,1372629378.0,196,1,0.22051105601493254
20301535000100,JB FARMA COMERCIO DE MEDICAMENTOS E REPRESENTACOES LTDA,5,290601080.0,66764400.0,1,1,4.352635236742935
05106015000152,CALL MED COMERCIO DE MEDICAMENTOS E REPRESENTACAO LTDA,97,290043386.5601,57853676.0,12,1,5.013395977813061
08157293000127,NATCOFARMA DO BRASIL LTDA,109,281153583.7602,3979218.0,29,1,70.65548652026605
02520829000140,DIMASTER - COMERCIO DE PRODUTOS HOSPITALARES LTDA.,4144,281095302.8597,939984948.0,248,1,0.2990423447288009
03652030000170,CENTERMEDI-COMERCIO DE PRODUTOS HOSPITALARES LTDA,5648,275816971.7029,2694663077.0,227,1,0.10235675623312813
03560974000118,MERCK SHARP & DOHME FARMACEUTICA LTDA.,2,273499587.6,18012.0,1,1,15184.298667554966
31673254001095,LABORATORIOS B BRAUN SA,53,273284491.21,47115348.0,16,1,5.800328402753174
65817900000171,AGLON COMERCIO E REPRESENTACOES LTDA,1595,270666440.1447,113438048.0,114,1,2.3860287171434753
05847630000110,SOMA/SP PRODUTOS HOSPITALARES LTDA,2540,265734037.2927,720741728.0,67,1,0.36869523016253053
28123417000160,PARTNER FARMA DISTRIBUIDORA DE MEDICAMENTOS LTDA,1151,256289424.975,441044613.0,65,1,0.5810963730669124
61072393003906,PFIZER BRASIL LTDA,67,243996013.22,24379988.0,5,1,10.008044844812884
00656468000139,SOMA/PR COMERCIO DE PRODUTOS HOSPITALARES LTDA,1996,239697936.5191,743294476.0,92,1,0.32248044921445107
05782733000300,CIAMED - DISTRIBUIDORA DE MEDICAMENTOS LTDA.,674,238522530.895,87422560.0,104,1,2.7283864816473002
07484373000124,UNI HOSPITALAR LTDA,410,235172992.16,45159713.0,27,1,5.207583851562564
18774815000193,AMGEN BIOTECNOLOGIA DO BRASIL LTDA.,63,225283083.8501,19778493.0,6,1,11.390305816024508
08077211000134,T S COMERCIAL DE MEDICAMENTOS E REPRESENTACAO LTDA,28,202324569.72,39837580.0,3,1,5.0787364523648275
04071245000160,"LICIMED DISTRIBUIDORA DE MEDICAMENTOS, CORRELATOS E PRODUTOS MEDICOS E HOSPITALARES LTDA",930,195220621.2708,1188630377.0,85,1,0.16423997320640576
02816696000154,PONTAMED FARMACEUTICA LTDA,5535,194736314.2355,568220652.0,182,1,0.3427124895057493
08778201000126,DROGAFONTE LTDA,3422,186638874.0362,805057770.0,158,1,0.23183289571405538
20202872000140,PROVIP DISTRIBUIDORA HOSPITALAR LTDA,133,181414375.2181,178039004.0,11,1,1.018958605374472
04307650002693,ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA.,99,179591210.337,18624437.0,10,1,9.64277257546094
05400006000170,FABMED DISTRIBUIDORA HOSPITALAR LTDA,667,177252897.4818,435683703.0,20,1,0.4068384845732914
15800545000311,ABBVIE FARMACEUTICA LTDA.,34,173952888.0401,164518.0,17,1,1057.3486672589017
12499494000260,HOSPINOVA DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA.,100,172125028.6308,3350018.0,13,1,51.380329488020664
05531725000120,SOMA/SC PRODUTOS HOSPITALARES LTDA,941,172104244.1942,747465635.0,16,1,0.23025037692094033
06628333000146,FARMACE - INDUSTRIA QUIMICO-FARMACEUTICA CEARENSE LTDA,254,169437162.13,143818096.0,33,1,1.1781352058088712
73856593001138,"PRATI, DONADUZZI & CIA LTDA",118,168575196.6167,1568640867.0,9,1,0.1074657687193228
56998701003301,ABBOTT LABORATORIOS DO BRASIL LTDA,70,164322572.299,270019401.0,11,1,0.6085583913246293
05439635000456,ANTIBIOTICOS DO BRASIL LTDA.,269,163826665.5105,188649146.0,55,1,0.8684198629263873
18269125000187,BIOHOSP PRODUTOS HOSPITALARES SA,1303,161448977.2384,38572103.0,76,1,4.1856410379905915
11563145000117,COMERCIAL MOSTAERT LIMITADA,54,159586613.68,3059472.0,6,1,52.161488544428586
04355394000151,PROHOSP DISTRIBUIDORA DE MEDICAMENTOS LTDA.,719,156901109.4966,117969425.0,76,1,1.3300150398851227
62969589001593,CSL BEHRING COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,25,155996615.4206,1471517.0,7,1,106.0107463390501
25211499000107,MEDCOM COMERCIO DE MEDICAMENTOS HOSPITALARES LTDA,71,155740867.67,13742353.0,2,1,11.332911304927183
43940618000144,ELI LILLY DO BRASIL LTDA,60,152898744.832,7161973.0,15,1,21.34869048403282
82277955000740,NOVO NORDISK FARMACEUTICA DO BRASIL LTDA,46,149847097.252,1419820.0,7,1,105.53950307222043
15145035000196,RIOBAHIAFARMA COMERCIO E DISTRIBUICAO DE PRODUTOS MEDICOS E COSMETICOS LTDA,164,144218797.746,55215492.0,18,1,2.6119263366520395
13485130000103,PHARMA LOG PRODUTOS FARMACEUTICOS LTDA,832,143310903.0114,179531621.0,57,1,0.7982488110626484
31673254000951,LABORATORIOS B BRAUN SA,8,143041595.78,6482964.0,2,1,22.064227995096072
07847837000110,CIENTIFICA MEDICA HOSPITALAR LTDA,642,139437633.9824,180579601.0,33,1,0.7721671396449702
27479311000131,OXIGENIO MODELO INDUSTRIA E COMERCIO DE GASES LTDA,2,138733080.0,7400.0,1,1,18747.713513513514
03652030000332,CENTERMEDI-COMERCIO DE PRODUTOS HOSPITALARES LTDA,1832,137463333.8663,628860143.0,113,1,0.2185912645227064
10588595000363,SANOFI MEDLEY FARMACEUTICA LTDA,13,130820760.55,689529.0,5,1,189.72481295202957
12420164000157,CM HOSPITALAR S.A.,208,130131122.7002,10925910.0,47,1,11.910323506252569
20352354000102,GC LAB DIAGNOSTICOS LTDA,141,122989028.69,359039.0,5,1,342.55061063004297
24633934000129,CAMBER FARMACEUTICA LTDA.,5,122459772.62,1595742.0,2,1,76.74158643439854
24331585000190,MULTICARE PHARMACEUTICALS LTDA,41,120559972.815,1019665.0,12,1,118.23488382458945
12419620000149,"VIER PHARMA DISTRIBUIDORA HOSPITALAR, REPRESENTACAO E CONSULTORIA LTDA",149,119029372.2164,69596314.0,8,1,1.7102827057249037
34729047000102,NSA DISTRIBUIDORA DE MEDICAMENTOS LTDA,506,118636239.4543,135083299.0,50,1,0.8782450556992986
03402979000112,M.N.P. CUSTODIO COMERCIO DE PRODUTOS HOSPITALARES LTDA,19,116576116.83,105767232.0,3,1,1.1021950241640057
05782733000220,CIAMED - DISTRIBUIDORA DE MEDICAMENTOS LTDA.,149,115116415.1646,85212056.0,13,1,1.3509404721392944
74232034000148,LABORATORIOS FERRING LTDA,10,114900738.73,7623193.0,1,1,15.072521282092689
01107391001182,SUPPORT PRODUTOS NUTRICIONAIS LTDA,16,114110194.42,751003450.0,2,1,0.15194363543869205
64171697000146,ACCORD FARMACEUTICA LTDA,46,113212938.0301,29110980.0,14,1,3.889011569864704
49324221001690,FRESENIUS KABI BRASIL LTDA.,398,111233068.225,40981225.0,42,1,2.7142445894430924
21681325000157,MULTIFARMA COMERCIO E REPRESENTACOES LTDA.,354,110557420.7307,247023730.0,65,1,0.44755789547303815
15329061000174,DANIELA CRISTINA SOUZA SANTOS LTDA,108,109327895.3784,33989390.0,13,1,3.216530081251826
12420164000238,CM HOSPITALAR S.A.,22,109081910.89,2859802.0,5,1,38.14316896414507
20657155000102,ILG COMERCIAL LTDA,3325,99954113.2884,241177068.0,105,1,0.4144428577612528
08958628000459,ONCOEXO DISTRIBUIDORA DE MEDICAMENTOS LTDA,57,99522467.98,2426843.0,2,1,41.00902612159089
37931064000116,LEMED COMERCIO DE MATERIAL E MEDICAMENTOS HOSPITALARES EIRELI,98,99029814.5547,3461067.0,14,1,28.612510117457997
90909631000110,INSTRAMED INDUSTRIA MEDICO HOSPITALAR LTDA,6,98836134.0,209895.0,4,1,470.88369899235335
51780468000187,JANSSEN-CILAG FARMACEUTICA LTDA,50,95903989.84,483678.0,8,1,198.28065332721357
61363032001541,CHIESI FARMACEUTICA LTDA,42,94947910.012,25055543.0,9,1,3.789497198763563
02520829000302,DIMASTER - COMERCIO DE PRODUTOS HOSPITALARES LTDA.,457,94086241.2567,226479175.0,36,1,0.41542998934317027
02814497000700,CIMED INDUSTRIA S.A.,355,91179576.7735,1320960423.0,55,1,0.06902521467405083
05912018000183,MERCO SOLUCOES EM SAUDE S/A,445,90665547.1012,167191722.0,70,1,0.5422849051174914
01571702000198,HALEX ISTAR INDUSTRIA FARMACEUTICA SA,248,90345797.07,14449694.0,68,1,6.252436700043613
67729178000653,COMERCIAL CIRURGICA RIOCLARENSE LTDA,117,90130131.53,40271679.0,16,1,2.2380524916778364
