ano_compra,cnpj_instituicao,uf,esfera,data_compra,data_insercao,validade_compra,codigo_catmat,descricao_produto,codigo_pdm,codigo_grupo,grupo,codigo_classe,classe,generico,tipo_compra,unidade_medida,cnpj_fornecedor,fornecedor,cnpj_fabricante,fabricante,quantidade,observacao,instituicao,municipio,unidade_apresentacao,pdm,numero_processo,numero_ata,unidade_fornecimento,registro_anvisa,modalidade_compra,capacidade_informada,preco_unitario,preco_total,id_bps,flag_invalido_quantidade,flag_invalido_preco_unitario,flag_invalido_preco_total,flag_invalido_capacidade_informada,flag_invalido_data_compra,flag_invalido_data_insercao,flag_formato_cnpj_instituicao,flag_formato_cnpj_fornecedor,flag_formato_cnpj_fabricante,ano_arquivo,arquivo_origem,linha_origem,registro_id,instituicao_id,fornecedor_id,fabricante_id,municipio_uf,produto,mes_compra,trimestre_compra,flag_ano_data_divergente,flag_data_futura,flag_insercao_anterior_compra,preco_total_calculado,diferenca_total,flag_total_divergente,flag_quantidade_nao_positiva,flag_preco_negativo,flag_total_negativo,faixa_quantidade,elegivel_preco,flag_duplicado_id_bps,flag_duplicado_exato,flag_possivel_duplicado_negocio
2022,07954571000104,CE,ESTADUAL,2022-09-14,2022-10-14,12,268949,"AZITROMICINA, DOSAGEM:40 MG/ML, APRESENTAÇÃO:SUSPENSÃO ORAL",3167,65,"Equipamentos e artigos para uso médico, dentário e veterinario",6505,DROGAS E MEDICAMENTOS,N,ADMINISTRATIVA,ML,20301535000100,JB FARMA COMERCIO DE MEDICAMENTOS E REPRESENTACOES LTDA,02501297000102,PHARLAB INDUSTRIA FARMACEUTICA S.A,35173000.0,4354916##carga_20240829,SECRETARIA DA SAUDE DO ESTADO DO CEARA,FORTALEZA,"FRASCO 15,00 ML",AZITROMICINA,03471152/2022,,FRASCO,1410700060195,PREGÃO,1500.0,6.7,235659100.0,15375285,0,0,0,0,0,0,0,0,0,2022,BPS_2022.csv,8912,2022:8912,07954571000104,20301535000100,02501297000102,FORTALEZA / CE,"268949 | AZITROMICINA, DOSAGEM:40 MG/ML, APRESENTAÇÃO:SUSPENSÃO ORAL",2022-09,2022Q3,0,0,0,235659100.0,0.0,0,0,0,0,05: >100.000,1,0,0,0
2022,07954571000104,CE,ESTADUAL,2022-04-26,2022-10-07,12,305935,"PROPOFOL, DOSAGEM:10 MG/ML, FORMA FARMACÊUTICA:EMULSÃO INJETÁVEL",11276,65,"Equipamentos e artigos para uso médico, dentário e veterinario",6505,DROGAS E MEDICAMENTOS,N,ADMINISTRATIVA,ML,31673254001095,LABORATORIOS B BRAUN SA,31673254000102,LABORATORIOS B BRAUN SA,32800000.0,4354756##carga_20240829,SECRETARIA DA SAUDE DO ESTADO DO CEARA,FORTALEZA,"AMPOLA 20,00 ML",PROPOFOL,00133698/2022,,AMPOLA,1008501330020,PREGÃO,2000.0,6.99,229272000.0,15454454,0,0,0,0,0,0,0,0,0,2022,BPS_2022.csv,29640,2022:29640,07954571000104,31673254001095,31673254000102,FORTALEZA / CE,"305935 | PROPOFOL, DOSAGEM:10 MG/ML, FORMA FARMACÊUTICA:EMULSÃO INJETÁVEL",2022-04,2022Q2,0,0,0,229272000.0,0.0,0,0,0,0,05: >100.000,1,0,0,0
2020,46374500026231,SP,ESTADUAL,2020-12-12,2021-06-30,12,297775,"ENZIMAS PANCREÁTICAS, PRINCÍPIO ATIVO:PANCREATINA ( AMILASE + LIPASE + PROTEASE ), DOSAGEM:10.000 UI",16342,65,"Equipamentos e artigos para uso médico, dentário e veterinario",6505,DROGAS E MEDICAMENTOS,,ADMINISTRATIVA,,57507378000365,EMS S/A,82277955000155,NOVO NORDISK FARMACEUTICA DO BRASIL LTDA,7976330.0,4337181##carga_20240829,SECRETARIA DE ESTADO DA SAUDE,SAO PAULO,COMPRIMIDO,ENZIMAS PANCREÁTICAS,M120/2020,,COMPRIMIDO,,PREGÃO,,28.0,223337240.0,15663790,0,0,0,0,0,0,0,0,0,2020,BPS_2020.csv,76143,2020:76143,46374500026231,57507378000365,82277955000155,SAO PAULO / SP,"297775 | ENZIMAS PANCREÁTICAS, PRINCÍPIO ATIVO:PANCREATINA ( AMILASE + LIPASE + PROTEASE ), DOSAGEM:10.000 UI",2020-12,2020Q4,0,0,0,223337240.0,0.0,0,0,0,0,05: >100.000,1,0,0,0
2022,07954571000104,CE,ESTADUAL,2022-09-15,2022-11-01,12,305488,"METILFENIDATO CLORIDRATO, DOSAGEM:20 MG, FORMA FARMACÊUTICA:MICROGRÂNULOS DE LIBERAÇÃO MODIFICADA",15893,65,"Equipamentos e artigos para uso médico, dentário e veterinario",6505,DROGAS E MEDICAMENTOS,S,ADMINISTRATIVA,,04307650001298,ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA.,56994502000130,NOVARTIS BIOCIENCIAS SA,28968800.0,4355527##carga_20240829,SECRETARIA DA SAUDE DO ESTADO DO CEARA,FORTALEZA,CÁPSULA,METILFENIDATO CLORIDRATO,01413414/2022,,CÁPSULA,1006800800022,PREGÃO,,7.46,216107248.0,15412203,0,0,0,0,0,0,0,0,0,2022,BPS_2022.csv,18719,2022:18719,07954571000104,04307650001298,56994502000130,FORTALEZA / CE,"305488 | METILFENIDATO CLORIDRATO, DOSAGEM:20 MG, FORMA FARMACÊUTICA:MICROGRÂNULOS DE LIBERAÇÃO MODIFICADA",2022-09,2022Q3,0,0,0,216107248.0,0.0,0,0,0,0,05: >100.000,1,0,0,0
2024,46374500026231,SP,ESTADUAL,2024-12-27,2025-09-15,12,439252,"NUSINERSENA, CONCENTRAÇÃO:2,4 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL",19479,65,"Equipamentos e artigos para uso médico, dentário e veterinario",6505,DROGAS E MEDICAMENTOS,N,ADMINISTRATIVA,ML,04307650002855,ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA.,07986222000174,BIOGEN BRASIL PRODUTOS FARMACEUTICOS LTDA,641.0,,SECRETARIA DE ESTADO DA SAUDE,SAO PAULO,"FRASCO 5,00 ML",NUSINERSENA,024.00126102/2024-52,PERP 156/2024,FRASCO,1699300080010,PREGÃO,500.0,328013.5,210256653.5,15474622,0,0,0,0,0,0,0,0,0,2024,BPS_2024.csv,11319,2024:11319,46374500026231,04307650002855,07986222000174,SAO PAULO / SP,"439252 | NUSINERSENA, CONCENTRAÇÃO:2,4 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL",2024-12,2024Q4,0,0,0,210256653.5,0.0,0,0,0,0,02: >100–1.000,1,0,0,0
2022,46374500026231,SP,ESTADUAL,2022-11-10,2023-06-07,12,436778,"NIVOLUMABE, CONCENTRAÇÃO:10 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL",19399,65,"Equipamentos e artigos para uso médico, dentário e veterinario",6505,DROGAS E MEDICAMENTOS,N,ADMINISTRATIVA,ML,56998982003122,BRISTOL-MYERS SQUIBB FARMACEUTICA LTDA.,56998982000107,BRISTOL-MYERS SQUIBB FARMACEUTICA LTDA.,21334.0,4361503##carga_20240829,SECRETARIA DE ESTADO DA SAUDE,SAO PAULO,"FRASCO 10,00 ML",NIVOLUMABE,SES-PRC-2022/31637,,FRASCO,1018004080023,PREGÃO,1000.0,9757.65,208169705.1,15351881,0,0,0,0,0,0,0,0,0,2022,BPS_2022.csv,2183,2022:2183,46374500026231,56998982003122,56998982000107,SAO PAULO / SP,"436778 | NIVOLUMABE, CONCENTRAÇÃO:10 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL",2022-11,2022Q4,0,0,0,208169705.1,0.0,0,0,0,0,04: >10.000–100.000,1,0,0,0
2025,46374500026231,SP,ESTADUAL,2025-05-21,2025-11-13,12,432908,"DAPAGLIFLOZINA, CONCENTRAÇÃO:10 MG",16326,65,"Equipamentos e artigos para uso médico, dentário e veterinario",6505,DROGAS E MEDICAMENTOS,N,ADMINISTRATIVA,,60318797000100,ASTRAZENECA DO BRASIL LTDA.,60318797000100,ASTRAZENECA DO BRASIL LTDA.,90487070.0,,SECRETARIA DE ESTADO DA SAUDE,SAO PAULO,COMPRIMIDO,DAPAGLIFLOZINA,024.00015139/2025-37,137/25,COMPRIMIDO,1161802590067,PREGÃO,,2.21,199976424.7,15430593,0,0,0,0,0,0,0,0,0,2025,BPS_2025.csv,7597,2025:7597,46374500026231,60318797000100,60318797000100,SAO PAULO / SP,"432908 | DAPAGLIFLOZINA, CONCENTRAÇÃO:10 MG",2025-05,2025Q2,0,0,0,199976424.7,0.0,0,0,0,0,05: >100.000,1,0,0,0
2025,46374500026231,SP,ESTADUAL,2025-06-05,2025-10-20,12,432908,"DAPAGLIFLOZINA, CONCENTRAÇÃO:10 MG",16326,65,"Equipamentos e artigos para uso médico, dentário e veterinario",6505,DROGAS E MEDICAMENTOS,N,ADMINISTRATIVA,,60318797000100,ASTRAZENECA DO BRASIL LTDA.,60318797000100,ASTRAZENECA DO BRASIL LTDA.,90487070.0,,SECRETARIA DE ESTADO DA SAUDE,SAO PAULO,COMPRIMIDO,DAPAGLIFLOZINA,024.000151392025-37,137/2025,COMPRIMIDO,1161802590067,PREGÃO,,2.21,199976424.7,15614183,0,0,0,0,0,0,0,0,0,2025,BPS_2025.csv,24369,2025:24369,46374500026231,60318797000100,60318797000100,SAO PAULO / SP,"432908 | DAPAGLIFLOZINA, CONCENTRAÇÃO:10 MG",2025-06,2025Q2,0,0,0,199976424.7,0.0,0,0,0,0,05: >100.000,1,0,0,0
2025,46374500026231,SP,ESTADUAL,2025-09-04,2025-11-10,12,432908,"DAPAGLIFLOZINA, CONCENTRAÇÃO:10 MG",16326,65,"Equipamentos e artigos para uso médico, dentário e veterinario",6505,DROGAS E MEDICAMENTOS,N,ADMINISTRATIVA,,60318797000100,ASTRAZENECA DO BRASIL LTDA.,60318797000100,ASTRAZENECA DO BRASIL LTDA.,90442363.0,,SECRETARIA DE ESTADO DA SAUDE,SAO PAULO,COMPRIMIDO,DAPAGLIFLOZINA,024.00040644/2025-10,078/25,COMPRIMIDO,1161802590067,PREGÃO,,2.21,199877622.23,15430427,0,0,0,0,0,0,0,0,0,2025,BPS_2025.csv,7521,2025:7521,46374500026231,60318797000100,60318797000100,SAO PAULO / SP,"432908 | DAPAGLIFLOZINA, CONCENTRAÇÃO:10 MG",2025-09,2025Q3,0,0,0,199877622.23,0.0,0,0,0,0,05: >100.000,1,0,0,0
2025,46374500026231,SP,ESTADUAL,2025-12-19,2026-03-23,12,387340,"FORMOTEROL FUMARATO, COMPOSIÇÃO:ASSOCIADO COM BUDESONIDA, CONCENTRAÇÃO:12 MCG + 400MCG/DOSE, FORMA FARMACÊUTICA:CÁPSULA PÓ INALANTE, CARACTERÍSTICAS ADICIONAIS:COM FRASCO INALADOR",15643,65,"Equipamentos e artigos para uso médico, dentário e veterinario",6505,DROGAS E MEDICAMENTOS,N,ADMINISTRATIVA,,04307650002502,ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA.,60659463002992,ACHE LABORATORIOS FARMACEUTICOS SA,162279838.0,,SECRETARIA DE ESTADO DA SAUDE,SAO PAULO,CÁPSULA,FORMOTEROL FUMARATO,024.00053955/2025-49,PERP 100/2025,CÁPSULA,1057305660186,PREGÃO,,1.2,194735805.6,15381849,0,0,0,0,0,0,0,0,0,2025,BPS_2025.csv,1670,2025:1670,46374500026231,04307650002502,60659463002992,SAO PAULO / SP,"387340 | FORMOTEROL FUMARATO, COMPOSIÇÃO:ASSOCIADO COM BUDESONIDA, CONCENTRAÇÃO:12 MCG + 400MCG/DOSE, FORMA FARMACÊUTICA:CÁPSULA PÓ INALANTE, CARACTERÍSTICAS ADICIONAIS:COM FRASCO INALADOR",2025-12,2025Q4,0,0,0,194735805.6,0.0,0,0,0,0,05: >100.000,1,0,0,0

