ano_compra,cnpj_instituicao,uf,esfera,data_compra,data_insercao,validade_compra,codigo_catmat,descricao_produto,codigo_pdm,codigo_grupo,grupo,codigo_classe,classe,generico,tipo_compra,unidade_medida,cnpj_fornecedor,fornecedor,cnpj_fabricante,fabricante,quantidade,observacao,instituicao,municipio,unidade_apresentacao,pdm,numero_processo,numero_ata,unidade_fornecimento,registro_anvisa,modalidade_compra,capacidade_informada,preco_unitario,preco_total,id_bps,flag_invalido_quantidade,flag_invalido_preco_unitario,flag_invalido_preco_total,flag_invalido_capacidade_informada,flag_invalido_data_compra,flag_invalido_data_insercao,flag_formato_cnpj_instituicao,flag_formato_cnpj_fornecedor,flag_formato_cnpj_fabricante,ano_arquivo,arquivo_origem,linha_origem,registro_id,instituicao_id,fornecedor_id,fabricante_id,municipio_uf,produto,mes_compra,trimestre_compra,flag_ano_data_divergente,flag_data_futura,flag_insercao_anterior_compra,preco_total_calculado,diferenca_total,flag_total_divergente,flag_quantidade_nao_positiva,flag_preco_negativo,flag_total_negativo,faixa_quantidade,elegivel_preco,flag_duplicado_id_bps,flag_duplicado_exato,flag_possivel_duplicado_negocio
2022,46374500026231,SP,ESTADUAL,2022-10-14,2023-05-16,12,439252,"NUSINERSENA, CONCENTRAÇÃO:2,4 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL",19479,65,"Equipamentos e artigos para uso médico, dentário e veterinario",6505,DROGAS E MEDICAMENTOS,N,ADMINISTRATIVA,ML,04307650001530,ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA.,07986222000174,BIOGEN BRASIL PRODUTOS FARMACEUTICOS LTDA,2276.0,4361021##carga_20240829,SECRETARIA DE ESTADO DA SAUDE,SAO PAULO,"FRASCO 5,00 ML",NUSINERSENA,SES-PRC-2022/28256,,FRASCO,1699300080010,PREGÃO,500.0,297242.94,676524931.44,15469352,0,0,0,0,0,0,0,0,0,2022,BPS_2022.csv,33308,2022:33308,46374500026231,04307650001530,07986222000174,SAO PAULO / SP,"439252 | NUSINERSENA, CONCENTRAÇÃO:2,4 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL",2022-10,2022Q4,0,0,0,676524931.44,0.0,0,0,0,0,03: >1.000–10.000,1,0,0,0
2020,80905706000131,PR,MUNICIPAL,2020-06-15,2021-06-17,12,269979,"COMPRESSA GAZE, MATERIAL:TECIDO 100% ALGODÃO, TIPO:11 FIOS/CM2, MODELO:COR BRANCA,ISENTA DE IMPUREZAS, CAMADAS:8 CAMADAS, LARGURA:7,50 CM, COMPRIMENTO:7,50 CM, DOBRAS:5 DOBRAS, CARACTERÍSTICAS ADICIONAIS:ESTÉRIL,DESCARTÁVEL",373,65,"Equipamentos e artigos para uso médico, dentário e veterinario",6510,MATERIAIS CIRÚRGICOS PARA CURATIVOS,,ADMINISTRATIVA,UN,18255796000199,M MAGALHAES PRODUTOS HOSPITALAR LTDA,02881877000164,POLAR FIX INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA,2400000.0,4336509##carga_20240829,FUNDO MUNICIPAL DE SAUDE,MARINGA,"PACOTE 5,00 UN",COMPRESSA GAZE,3366/2020,,PACOTE,,PREGÃO,500.0,259.0,621600000.0,15617675,0,0,0,0,0,0,0,0,0,2020,BPS_2020.csv,65045,2020:65045,80905706000131,18255796000199,02881877000164,MARINGA / PR,"269979 | COMPRESSA GAZE, MATERIAL:TECIDO 100% ALGODÃO, TIPO:11 FIOS/CM2, MODELO:COR BRANCA,ISENTA DE IMPUREZAS, CAMADAS:8 CAMADAS, LARGURA:7,50 CM, COMPRIMENTO:7,50 CM, DOBRAS:5 DOBRAS, CARACTERÍSTICAS ADICIONAIS:ESTÉRIL,DESCARTÁVEL",2020-06,2020Q2,0,0,0,621600000.0,0.0,0,0,0,0,05: >100.000,1,0,0,0
2022,46374500026231,SP,ESTADUAL,2022-03-12,2022-07-04,1,332849,"CALCIPOTRIOL, DOSAGEM:50 MCG/G, USO:POMADA",4214,65,"Equipamentos e artigos para uso médico, dentário e veterinario",6505,DROGAS E MEDICAMENTOS,N,ADMINISTRATIVA,G,11424477000200,LEO PHARMA LTDA,11424477000110,LEO PHARMA LTDA,620880000.0,4350739##carga_20240829,SECRETARIA DE ESTADO DA SAUDE,SAO PAULO,"BISNAGA 30,00 G",CALCIPOTRIOL,SES-PRC-2021/51480,,BISNAGA,1856900030013,PREGÃO,3000.0,0.85,527748000.0,15593915,0,0,0,0,0,0,0,0,0,2022,BPS_2022.csv,63388,2022:63388,46374500026231,11424477000200,11424477000110,SAO PAULO / SP,"332849 | CALCIPOTRIOL, DOSAGEM:50 MCG/G, USO:POMADA",2022-03,2022Q1,0,0,0,527748000.0,0.0,0,0,0,0,05: >100.000,1,0,0,0
2024,08778268000160,PB,ESTADUAL,2024-09-26,2025-02-24,12,400563,"USTEQUINUMABE, CONCENTRAÇÃO:90 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL",13187,65,"Equipamentos e artigos para uso médico, dentário e veterinario",6505,DROGAS E MEDICAMENTOS,N,JUDICIAL,ML,51780468000268,JANSSEN-CILAG FARMACEUTICA LTDA,51780468000187,JANSSEN-CILAG FARMACEUTICA LTDA,20000.0,,SECRETARIA DE ESTADO DA SAUDE - SES,JOAO PESSOA,"SERINGA 1,00 ML",USTEQUINUMABE,SES-PRC-2024/27151,,SERINGA,1123633940047,DISPENSA DE LICITAÇÃO,100.0,26125.4,522508000.0,15693988,0,0,0,0,0,0,0,0,0,2024,BPS_2024.csv,27845,2024:27845,08778268000160,51780468000268,51780468000187,JOAO PESSOA / PB,"400563 | USTEQUINUMABE, CONCENTRAÇÃO:90 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL",2024-09,2024Q3,0,0,0,522508000.0,0.0,0,0,0,0,04: >10.000–100.000,1,0,0,0
2021,18538208000124,AL,ESTADUAL,2021-01-14,2021-08-18,12,390505,"RESINA COMPOSTA, TIPO:FOTOPOLIMERIZÁVEL, TAMANHO PARTÍCULAS:HÍBRIDA, ASPECTO FÍSICO:PASTOSA",11676,65,"Equipamentos e artigos para uso médico, dentário e veterinario",6520,"INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS DENTÁRIOS",,ADMINISTRATIVA,,25341162000114,"MEGA DENTAL IMPORTACAO, EXPORTACAO E COMERCIO DE PRODUTOS ODONTOLOGICOS LTDA",05823205000190,MAQUIRA INDUSTRIA DE PRODUTOS ODONTOLOGICOS S.A.,84000.0,4340043##carga_20240829,CONSORCIO INTERMUNICIPAL DO SUL DO ESTADO DE ALAGOAS - CONISUL,PENEDO,SERINGA,RESINA COMPOSTA,P.E. 11/2020 ARP 06,,SERINGA,,PREGÃO,,5768.0,484512000.0,15592704,0,0,0,0,0,0,0,0,0,2021,BPS_2021.csv,58590,2021:58590,18538208000124,25341162000114,05823205000190,PENEDO / AL,"390505 | RESINA COMPOSTA, TIPO:FOTOPOLIMERIZÁVEL, TAMANHO PARTÍCULAS:HÍBRIDA, ASPECTO FÍSICO:PASTOSA",2021-01,2021Q1,0,0,0,484512000.0,0.0,0,0,0,0,04: >10.000–100.000,1,0,0,0
2026,46374500026231,SP,ESTADUAL,2026-01-05,2026-04-14,12,439252,"NUSINERSENA, CONCENTRAÇÃO:2,4 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL",19479,65,"Equipamentos e artigos para uso médico, dentário e veterinario",6505,DROGAS E MEDICAMENTOS,N,ADMINISTRATIVA,ML,12420164000580,CM HOSPITALAR S.A.,07986222000174,BIOGEN BRASIL PRODUTOS FARMACEUTICOS LTDA,1002.0,,SECRETARIA DE ESTADO DA SAUDE,SAO PAULO,"FRASCO 5,00 ML",NUSINERSENA,024.00102498/2025-23,PERP 010/2026,FRASCO,1699300080010,PREGÃO,500.0,344611.06,345300282.12,15474838,0,0,0,0,0,0,0,0,0,2026,BPS_2026.csv,3549,2026:3549,46374500026231,12420164000580,07986222000174,SAO PAULO / SP,"439252 | NUSINERSENA, CONCENTRAÇÃO:2,4 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL",2026-01,2026Q1,0,0,0,345300282.12,0.0,0,0,0,0,03: >1.000–10.000,1,0,0,0
2022,07954571000104,CE,ESTADUAL,2022-07-19,2022-09-20,12,268971,"POLIMIXINA B, DOSAGEM:500.000UI, APRESENTAÇÃO:INJETÁVEL",12343,65,"Equipamentos e artigos para uso médico, dentário e veterinario",6505,DROGAS E MEDICAMENTOS,S,ADMINISTRATIVA,,21595464000168,UNI HOSPITALAR CEARA LTDA,61190096000192,EUROFARMA LABORATORIOS S.A.,13837200.0,4354129##carga_20240829,SECRETARIA DA SAUDE DO ESTADO DO CEARA,FORTALEZA,FRASCO-AMPOLA,POLIMIXINA B,01982125/2022,,FRASCO-AMPOLA,1004309180021,PREGÃO,,18.5,255988200.0,15498658,0,0,0,0,0,0,0,0,0,2022,BPS_2022.csv,41228,2022:41228,07954571000104,21595464000168,61190096000192,FORTALEZA / CE,"268971 | POLIMIXINA B, DOSAGEM:500.000UI, APRESENTAÇÃO:INJETÁVEL",2022-07,2022Q3,0,0,0,255988200.0,0.0,0,0,0,0,05: >100.000,1,0,0,0
2022,07954571000104,CE,ESTADUAL,2022-02-23,2022-09-29,12,414435,"CERTOLIZUMABE PEGOL, CONCENTRAÇÃO:200 MG, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL, CARACTERÍSTICA ADICIONAL:SERINGA PREENCHIDA, COM LENÇO UMIDECIDO",15388,65,"Equipamentos e artigos para uso médico, dentário e veterinario",6505,DROGAS E MEDICAMENTOS,N,ADMINISTRATIVA,,09053134000145,ELFA MEDICAMENTOS S.A,64711500000114,UCB BIOPHARMA LTDA.,349800.0,4354430##carga_20240829,SECRETARIA DA SAUDE DO ESTADO DO CEARA,FORTALEZA,SERINGA,CERTOLIZUMABE PEGOL,08729725/2021,,SERINGA,1236100870014,PREGÃO,,731.33,255819234.0,15498700,0,0,0,0,0,0,0,0,0,2022,BPS_2022.csv,41268,2022:41268,07954571000104,09053134000145,64711500000114,FORTALEZA / CE,"414435 | CERTOLIZUMABE PEGOL, CONCENTRAÇÃO:200 MG, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL, CARACTERÍSTICA ADICIONAL:SERINGA PREENCHIDA, COM LENÇO UMIDECIDO",2022-02,2022Q1,0,0,0,255819234.0,0.0,0,0,0,0,05: >100.000,1,0,0,0
2022,07954571000104,CE,ESTADUAL,2022-08-29,2022-10-13,12,383436,"AZACITIDINA, CONCENTRAÇÃO:100 MG, FORMA FARMACÊUTICA:PÓ LIÓFILO P/ INJETÁVEL",15134,65,"Equipamentos e artigos para uso médico, dentário e veterinario",6505,DROGAS E MEDICAMENTOS,N,ADMINISTRATIVA,,08157293000127,NATCOFARMA DO BRASIL LTDA,08157293000127,NATCOFARMA DO BRASIL LTDA,498600.0,4354852##carga_20240829,SECRETARIA DA SAUDE DO ESTADO DO CEARA,FORTALEZA,FRASCO-AMPOLA,AZACITIDINA,01982524/2022,,FRASCO-AMPOLA,1826100130011,PREGÃO,,480.0,239328000.0,15515403,0,0,0,0,0,0,0,0,0,2022,BPS_2022.csv,45591,2022:45591,07954571000104,08157293000127,08157293000127,FORTALEZA / CE,"383436 | AZACITIDINA, CONCENTRAÇÃO:100 MG, FORMA FARMACÊUTICA:PÓ LIÓFILO P/ INJETÁVEL",2022-08,2022Q3,0,0,0,239328000.0,0.0,0,0,0,0,05: >100.000,1,0,0,0
2022,07954571000104,CE,ESTADUAL,2022-03-01,2022-10-03,12,276234,"INSULINA, ORIGEM:ASPART, DOSAGEM:100U/ML, APLICAÇÃO:INJETÁVEL",8428,65,"Equipamentos e artigos para uso médico, dentário e veterinario",6505,DROGAS E MEDICAMENTOS,N,ADMINISTRATIVA,ML,09053134000145,ELFA MEDICAMENTOS S.A,82277955000155,NOVO NORDISK FARMACEUTICA DO BRASIL LTDA,9290000.0,4354596##carga_20240829,SECRETARIA DA SAUDE DO ESTADO DO CEARA,FORTALEZA,"TUBETE 3,00 ML",INSULINA,10502937/2021,,TUBETE,1176600160027,PREGÃO,300.0,25.48,236709200.0,15685891,0,0,0,0,0,0,0,0,0,2022,BPS_2022.csv,85116,2022:85116,07954571000104,09053134000145,82277955000155,FORTALEZA / CE,"276234 | INSULINA, ORIGEM:ASPART, DOSAGEM:100U/ML, APLICAÇÃO:INJETÁVEL",2022-03,2022Q1,0,0,0,236709200.0,0.0,0,0,0,0,05: >100.000,1,0,0,0
