instituicao_id,instituicao,registros,valor_total,quantidade_total,instituicoes,fornecedores,preco_ponderado
88743604000179,MUNICIPIO DE CHARQUEADAS,8,51696.72,287140.0,1,5,0.1800401198021871
46374500015701,SECRETARIA DE ESTADO DA SAUDE,8,51207.0,6440.0,1,6,7.95139751552795
12021434000157,FUNDO MUNICIPAL DE SAUDE DE JARAGUARI,69,50599.6,5670.0,1,2,8.924091710758377
12332953000136,MUNICIPIO DE MURICI,14,47662.8,341880.0,1,1,0.13941382941382943
45132495000140,MUNICIPIO DE LIMEIRA,1,47460.0,420000.0,1,1,0.113
92455393000146,MUNICIPIO DE NOVA ESPERANCA DO SUL,16,46963.2,249000.0,1,3,0.18860722891566264
46341038000129,MUNICIPIO DE PIRACICABA,8,46158.0,38950.0,1,5,1.1850577663671373
11323039000166,FUNDO MUNICIPAL DE SAUDE DE BOCA DA MATA,4,45857.0,4200.0,1,2,10.918333333333333
01761198000199,MUNICIPIO DE LUZILANDIA - SECRETARIA MUNICIPAL DE SAUDE,7,45766.0,117500.0,1,1,0.38949787234042554
67662544000190,MUNICIPIO DE EMILIANOPOLIS,24,44863.698,42070.0,1,7,1.0664059424768242
11194088000146,FUNDO MUNICIPAL DE SAUDE,17,44026.074,1290.0,1,2,34.12873953488372
11371082000105,FUNDO MUNICIPAL DE SAUDE,1,41446.0,1219000.0,1,1,0.034
13781828000176,MUNICIPIO DE IBITIARA,25,40463.0,706650.0,1,2,0.05726031274322508
10316445000139,FUNDO MUNICIPAL DE SAUDE,7,39595.0,30000.0,1,1,1.3198333333333334
03265143000113,SECRETARIA MUNICIPAL DE SAUDE,22,39361.48,10712.0,1,2,3.674522031366692
81478133000170,MUNICIPIO DE PEROLA,129,37267.03,11132.0,1,3,3.3477389507725475
13861260000101,FUNDO MUNICIPAL DE SAUDE DO MUNICIPIO DE COLIDER,19,37264.0,19152.0,1,2,1.9456975772765246
29141322000132,MUNICIPIO DE PIRAI,22,37247.35,4404.0,1,1,8.457618074477747
11502951000185,FUNDO MUNICIPAL DE SAUDE DE GOVERNADOR JORGE TEIXEIRA,7,36110.0,172900.0,1,3,0.20884904569115095
