year,raw_rows,final_rows,raw_value,final_value,raw_quantity,final_quantity
2020,84919,84919,5047158170.4380,5047158170.4380,8769651552.0000,8769651552.0000
2021,85012,85012,7423162974.7920,7423162974.7920,10721528292.0000,10721528292.0000
2022,89555,89555,16872583339.2273,16872583339.2273,15213456252.0000,15213456252.0000
2023,33831,33831,4957545775.2617,4957545775.2617,10274886691.0000,10274886691.0000
2024,28942,28942,9089223625.7984,9089223625.7984,5725383486.0000,5725383486.0000
2025,34233,34233,50904775385.3438,50904775385.3438,8846881823.0000,8846881823.0000
2026,11146,11146,20827029819.9279,20827029819.9279,5259219470.0000,5259219470.0000

