fabricante_id,fabricante,ocorrencias,rotulo
00008125000168,MENUCHI ACABAMENTO DE PLASTICOS INDUSTRIA COM LTDA,9,MENUCHI ACABAMENTO DE PL [M0001]
00008354000182,BIOSENSOR INDUSTRIA E COMERCIO LTDA,6,BIOSENSOR INDUSTRIA E CO [M0002]
00015955000112,SDI BRASIL INDUSTRIA E COMERCIO LTDA,86,SDI BRASIL INDUSTRIA E C [M0003]
00023851000150,A. L. B. LUZ,1,A. L. B. LUZ [M0004]
00025310000160,FARMAQUI INDUSTRIA E COMERCIO LTDA,22,FARMAQUI INDUSTRIA E COM [M0005]
00028682000140,PROMEDON DO BRASIL PRODUTOS MEDICO HOSPITALARES LTDA,8,PROMEDON DO BRASIL PRODU [M0006]
00029372000140,GE HEALTHCARE DO BRASIL COMERCIO E SERVICOS PARA EQUIPAMENTOS MEDICO-HOSPITALARES LTDA,58,GE HEALTHCARE DO BRASIL  [M0007]
00029372000221,GE HEALTHCARE DO BRASIL COMERCIO E SERVICOS PARA EQUIPAMENTOS MEDICO-HOSPITALARES LTDA,2,GE HEALTHCARE DO BRASIL  [M0008]
00072182000106,ROSSI PRODUTOS HOSPITALARES LTDA,2,ROSSI PRODUTOS HOSPITALA [M0009]
00075112000101,REYMER DO BRASIL INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS LTDA,45,REYMER DO BRASIL INDUSTR [M0010]
00098242000160,PRONTOFAR LTDA,3,PRONTOFAR LTDA [M0011]
00099817000169,RABBIT INDUSTRIA E COMERCIO DE PRODUTOS DE HIGIENE PESSOAL LTDA,3,RABBIT INDUSTRIA E COMER [M0012]
00129149000256,MIYUKI INDUSTRIA E COMERCIO DE COSMETICOS LTDA,6,MIYUKI INDUSTRIA E COMER [M0013]
00133418000177,IBRAMED INDUSTRIA BRASILEIRA DE EQUIPAMENTOS MEDICOS LTDA,21,IBRAMED INDUSTRIA BRASIL [M0014]
00150371000150,LODERME FARMACIA DE MANIPULACAO LTDA,7,LODERME FARMACIA DE MANI [M0015]
00157774000554,TARGA MEDICAL S.A.,193,TARGA MEDICAL S.A. [M0016]
00165933000139,DESCARTEX CONFECCOES E COMERCIO LTDA,19,DESCARTEX CONFECCOES E C [M0017]
00171138000153,AQUAFLEX INDUSTRIA E COMERCIO LTDA,1,AQUAFLEX INDUSTRIA E COM [M0018]
00192190000196,OFTALMOPHARMA INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,44,OFTALMOPHARMA INDUSTRIA  [M0019]
00217622000176,LATINA ELETRODOMESTICOS S/A FALIDO,2,LATINA ELETRODOMESTICOS  [M0020]
00252903000160,ESTERILI MED INDUSTRIA E COMERCIO DE PRODUTOS MEDICOS HOSPITALARES LTDA,47,ESTERILI MED INDUSTRIA E [M0021]
00256343000111,NAVI COMERCIO E INDUSTRIA DE CONCENTRADO MULTIUSO LTDA,1,NAVI COMERCIO E INDUSTRI [M0022]
00257992000137,ANGELUS INDUSTRIA DE PRODUTOS ODONTOLOGICOS S/A,221,ANGELUS INDUSTRIA DE PRO [M0023]
00260485000152,LUIZ FERNANDO ZIMER LTDA,3,LUIZ FERNANDO ZIMER LTDA [M0024]
00317372000146,GALDERMA BRASIL LTDA,38,GALDERMA BRASIL LTDA [M0025]
00317372000499,GALDERMA BRASIL LTDA,13,GALDERMA BRASIL LTDA [M0026]
00319979000165,SULPACK INDUSTRIA DE MAQUINAS PARA EMBALAGENS LTDA,2,SULPACK INDUSTRIA DE MAQ [M0027]
00322352000163,DPCBRASIL INDUSTRIA E COMERCIO LTDA,40,DPCBRASIL INDUSTRIA E CO [M0028]
00325031000112,KOTA IMPORTS LTDA,14,KOTA IMPORTS LTDA [M0029]
00331788000119,AIR LIQUIDE BRASIL LTDA,3,AIR LIQUIDE BRASIL LTDA [M0030]
00332257000140,E. DE GODOY BRAGANCA TEXTIL,50,E. DE GODOY BRAGANCA TEX [M0031]
00376959000126,IFAL IND E COM DE PRODUTOS FARMACEUTICOS LTDA,711,IFAL IND E COM DE PRODUT [M0032]
00377455000120,IDEXX BRASIL LABORATORIOS LTDA.,1,IDEXX BRASIL LABORATORIO [M0033]
00380573000198,BELTEC - INDUSTRIA E COMERCIO DE EQUIPAMENTOS ODONTOLOGICOS LTDA,2,BELTEC - INDUSTRIA E COM [M0034]
00382468000198,COLGATE-PALMOLIVE COMERCIAL LTDA.,5,COLGATE-PALMOLIVE COMERC [M0035]
00394452000103,COMANDO DO EXERCITO,8,COMANDO DO EXERCITO [M0036]
00394502007157,COMANDO DA MARINHA,8,COMANDO DA MARINHA [M0037]
00406859000103,AGAPLASTIC INDUSTRIA E COMERCIO LTDA,9,AGAPLASTIC INDUSTRIA E C [M0038]
00412880000103,EMBALI INDUSTRIAS PLASTICAS LTDA,2,EMBALI INDUSTRIAS PLASTI [M0039]
00413538000128,ORTO CENTRAL INDUSTRIA E COMERCIO DE PRODUTOS DE ORTODONTIA LTDA,15,ORTO CENTRAL INDUSTRIA E [M0040]
00413925000164,COLBRAS INDUSTRIA E COMERCIO LTDA,107,COLBRAS INDUSTRIA E COME [M0041]
00424413000101,DESKARPLAS INDUSTRIA E COMERCIO LTDA,9,DESKARPLAS INDUSTRIA E C [M0042]
00424745000188,TECPON INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS LTDA,1,TECPON INDUSTRIA E COMER [M0043]
00425586000136,G D RUFINO LTDA,3,G D RUFINO LTDA [M0044]
00433726000118,PROINLAB - INDUSTRIA E COMERCIO DE PRODUTOS PARA LABORATORIOS LTDA,12,PROINLAB - INDUSTRIA E C [M0045]
00542467000163,A B DESCARTAVEIS INDUSTRIA E COMERCIO LTDA,1,A B DESCARTAVEIS INDUSTR [M0046]
00546993000100,MEDICAL DEVICE PRODUTOS E MATERIAIS HOSPITALARES LTDA,7,MEDICAL DEVICE PRODUTOS  [M0047]
00562583000144,RENYLAB - QUIMICA E FARMACEUTICA LTDA,84,RENYLAB - QUIMICA E FARM [M0048]
00592933000115,ZEDAMED LTDA,3,ZEDAMED LTDA [M0049]
00618346000158,ASSEPTICO PRODUTOS DESCARTAVEIS LTDA,3,ASSEPTICO PRODUTOS DESCA [M0050]
00625692000163,TOMMASI IMPORTACAO E EXPORTACAO LTDA.,3,TOMMASI IMPORTACAO E EXP [M0051]
00626948000157,HANESBRANDS BRASIL TEXTIL LTDA.,5,HANESBRANDS BRASIL TEXTI [M0052]
00647935000164,MASTER DIAGNOSTICA PRODUTOS LABORATORIAIS E HOSPITALARES LTDA.,14,MASTER DIAGNOSTICA PRODU [M0053]
00659050000185,CENTER MED COMERCIAL LTDA,7,CENTER MED COMERCIAL LTD [M0054]
00662798000137,VITAL ATMAN LTDA,73,VITAL ATMAN LTDA [M0055]
00671994000178,GIROGAZ COMERCIAL DE OXIGENIO LTDA,4,GIROGAZ COMERCIAL DE OXI [M0056]
00677858000195,ARTE NATIVA PRODUTOS NATURAIS LTDA,161,ARTE NATIVA PRODUTOS NAT [M0057]
00678593000140,STERIFARMA PRODUTOS CIRURGICOS LTDA,5,STERIFARMA PRODUTOS CIRU [M0058]
00681314000105,ORTOMED HOSPITALAR INDUSTRIA E COMERCIO LTDA,1,ORTOMED HOSPITALAR INDUS [M0059]
00681516000149,FRALDAS CK INDUSTRIA E COMERCIO LTDA,14,FRALDAS CK INDUSTRIA E C [M0060]
00711514000155,ANDRADE GOMES INDUSTRIA E COMERCIO DE ARTEFATO PLASTICO LTDA,5,ANDRADE GOMES INDUSTRIA  [M0061]
00740719000169,UTI MEDICA - INDUSTRIA E COMERCIO DE MOVEIS HOSPITALARES LTDA,4,UTI MEDICA - INDUSTRIA E [M0062]
00749145000190,FDA ALLERGENIC FARMACEUTICA LTDA,8,FDA ALLERGENIC FARMACEUT [M0063]
00762455000144,NIPRO MEDICAL LTDA,13,NIPRO MEDICAL LTDA [M0064]
00763406000126,GERIATEX INDUSTRIA E COMERCIO LTDA,6,GERIATEX INDUSTRIA E COM [M0065]
00772058000153,BIOPLUS PRODUTOS PARA LABORATORIOS LTDA,3,BIOPLUS PRODUTOS PARA LA [M0066]
00787540000167,VERBENNA FARMACIA DE MANIPULACAO LTDA,1,VERBENNA FARMACIA DE MAN [M0067]
00789243000150,LOURENCI E LOURENCI LTDA,3,LOURENCI E LOURENCI LTDA [M0068]
00802002000102,ALTERMED MATERIAL MEDICO HOSPITALAR LTDA,44,ALTERMED MATERIAL MEDICO [M0069]
00814559000155,SURYA DENTAL COMERCIO DE PRODUTOS ODONTOLOGICOS E FARMACEUTICOS S/A,39,SURYA DENTAL COMERCIO DE [M0070]
00816063000110,APERIFIO INDUSTRIA COMERCIO E REPRESENTACOES LTDA,1,APERIFIO INDUSTRIA COMER [M0071]
00826788000190,PEDS TREINAMENTOS E ASSESSORIA EMPRESARIAL LTDA,1,PEDS TREINAMENTOS E ASSE [M0072]
00860254000180,MULTILAB LABORATORIO DE ANALISES CLINICAS LTDA,92,MULTILAB LABORATORIO DE  [M0073]
00866902000105,MEDIMED MAT MEDICOS E HOSPITALARES LTDA,3,MEDIMED MAT MEDICOS E HO [M0074]
00894372000109,MB TEXTIL LTDA,29,MB TEXTIL LTDA [M0075]
00895119000170,SANFARMA COMERCIO DE MEDICAMENTOS LTDA,2,SANFARMA COMERCIO DE MED [M0076]
00904050000101,ADJ INDUSTRIA E COMERCIO DE FIXADORES ORTOPEDICOS E IMPLANTES LTDA,1,ADJ INDUSTRIA E COMERCIO [M0077]
00904728001209,VYTTRA DIAGNOSTICOS S.A.,1,VYTTRA DIAGNOSTICOS S.A. [M0078]
00923140000131,EMS SIGMA PHARMA LTDA,1551,EMS SIGMA PHARMA LTDA [M0079]
00938703000165,HOLLISTER DO BRASIL LTDA,19,HOLLISTER DO BRASIL LTDA [M0080]
00947389000187,FLEXOR INDUSTRIA E COMERCIO DE PRODUTOS MEDICO HOSPITALAR LTDA,5,FLEXOR INDUSTRIA E COMER [M0081]
00969061000161,CARBOGEL INDUSTRIA E COMERCIO LTDA,20,CARBOGEL INDUSTRIA E COM [M0082]
00969061000323,CARBOGEL INDUSTRIA E COMERCIO LTDA,44,CARBOGEL INDUSTRIA E COM [M0083]
00980360000288,ECO3 DO BRASIL LTDA.,8,ECO3 DO BRASIL LTDA. [M0084]
00984436000162,BELL TYPE INDUSTRIES LTDA,7,BELL TYPE INDUSTRIES LTD [M0085]
01000823000180,SOLUMED MATERIAIS MEDICOS LTDA,273,SOLUMED MATERIAIS MEDICO [M0086]
01005728000179,LABOR IMPORT COMERCIAL IMPORTADORA EXPORTADORA LTDA,2396,LABOR IMPORT COMERCIAL I [M0087]
01014406000196,PROTEC PRODUTOS CIENTIFICOS LTDA,15,PROTEC PRODUTOS CIENTIFI [M0088]
01017680000119,J FERES INDUSTRIA DE ALCOOL LTDA,24,J FERES INDUSTRIA DE ALC [M0089]
01025974000192,"VINCULA INDUSTRIA, COMERCIO, IMPORTACAO E EXPORTACAO DE IMPLANTES S.A.",5,"VINCULA INDUSTRIA, COMER [M0090]"
01056338000128,ENDOCIRURGICA - COMERCIO DE PRODUTOS MEDICOS LTDA.,1,ENDOCIRURGICA - COMERCIO [M0091]
01057428000133,DESCARPACK DESCARTAVEIS DO BRASIL LTDA,861,DESCARPACK DESCARTAVEIS  [M0092]
01057428000214,DESCARPACK DESCARTAVEIS DO BRASIL LTDA,1942,DESCARPACK DESCARTAVEIS  [M0093]
01061762000160,DELFINI INDUSTRIA COMERCIO LTDA,8,DELFINI INDUSTRIA COMERC [M0094]
01072992000125,DGTECH INDUSTRIA E COMERCIO LTDA.,15,DGTECH INDUSTRIA E COMER [M0095]
01074837000148,WILCOS DO BRASIL INDUSTRIA E COMERCIO LIMITADA,86,WILCOS DO BRASIL INDUSTR [M0096]
01081026000174,COMPOJET BIOMEDICA LTDA,14,COMPOJET BIOMEDICA LTDA [M0097]
01085207000179,BRAKKO COMERCIO E IMPORTACAO LTDA,1,BRAKKO COMERCIO E IMPORT [M0098]
01085513000105,DOLES REAGENTES E EQUIPAMENTOS PARA LABORATORIOS LTDA,7,DOLES REAGENTES E EQUIPA [M0099]
01101363000186,DENTALVILLE DO BRASIL LTDA,4,DENTALVILLE DO BRASIL LT [M0100]
01107391000100,SUPPORT PRODUTOS NUTRICIONAIS LTDA,54,SUPPORT PRODUTOS NUTRICI [M0101]
01107391001263,SUPPORT PRODUTOS NUTRICIONAIS LTDA,5,SUPPORT PRODUTOS NUTRICI [M0102]
01122234000174,IMPORT SERVICE MATERIAL MEDICO HOSPITALAR LTDA,90,IMPORT SERVICE MATERIAL  [M0103]
01123973000180,ORTHO PAUHER INDUSTRIA COMERCIO E DISTRIBUICOES LTDA,2,ORTHO PAUHER INDUSTRIA C [M0104]
01136636000128,FORMAPLAS INDUSTRIA E COMERCIO DE PLASTICOS LTDA,1,FORMAPLAS INDUSTRIA E CO [M0105]
01140700000144,PROLINK INDUSTRIA QUIMICA LTDA,115,PROLINK INDUSTRIA QUIMIC [M0106]
01140868000150,CIRURGICA OLIMPIO LTDA,1,CIRURGICA OLIMPIO LTDA [M0107]
01152141000192,TERMOGEL INDUSTRIA E COMERCIO DE PRODUTOS DE ESTETICA LTDA,3,TERMOGEL INDUSTRIA E COM [M0108]
01177248000195,CRISTOFOLI EQUIPAMENTOS DE BIOSSEGURANCA LTDA,26,CRISTOFOLI EQUIPAMENTOS  [M0109]
01190127000183,MEDICALTEX INDUSTRIA E COMERCIO LTDA,17,MEDICALTEX INDUSTRIA E C [M0110]
01202521000194,PLASTIC WAY PRODUTOS PARA A SAUDE LTDA,8,PLASTIC WAY PRODUTOS PAR [M0111]
01221540000168,PRO-FORMULA ABC COSMETICOS LTDA,4,PRO-FORMULA ABC COSMETIC [M0112]
01224953000104,THECH DESINFECCAO LTDA,4,THECH DESINFECCAO LTDA [M0113]
01226416000195,NUTRIMED SERV. MEDICOS EM NUTRICAO PARENT. E ENTERAL LTDA,2,NUTRIMED SERV. MEDICOS E [M0114]
01233103000164,MAPPEL INDUSTRIA DE EMBALAGENS S.A.,69,MAPPEL INDUSTRIA DE EMBA [M0115]
01265357000164,MEDICATE S/C LTDA,7,MEDICATE S/C LTDA [M0116]
01298443000173,MAGNAMED TECNOLOGIA MEDICA S/A,11,MAGNAMED TECNOLOGIA MEDI [M0117]
01298443000254,MAGNAMED TECNOLOGIA MEDICA S/A,2,MAGNAMED TECNOLOGIA MEDI [M0118]
01299649000118,CHEMITEC AGRO-VETERINARIA LTDA,9,CHEMITEC AGRO-VETERINARI [M0119]
01328535000159,CLASSMED - PRODUTOS HOSPITALARES LTDA,4,CLASSMED - PRODUTOS HOSP [M0120]
01329816000126,PANAMERICAN MEDICAL SUPPLY SUPRIMENTOS MEDICOS LTDA,62,PANAMERICAN MEDICAL SUPP [M0121]
01332005000184,DENTSCLER INDUSTRIA DE APARELHOS ODONTOLOGICOS LTDA,32,DENTSCLER INDUSTRIA DE A [M0122]
01334368000159,ULTRAPLAST IND.E COM.DE SACOLAS PLASTICAS LTDA,2,ULTRAPLAST IND.E COM.DE  [M0123]
01336083000157,HARMONIEX INDUSTRIA E COMERCIO DE SANEANTES LTDA,1,HARMONIEX INDUSTRIA E CO [M0124]
01339015000141,PLASTPEROLA INDUSTRIA E COMERCIO DE PLASTICOS LTDA,3,PLASTPEROLA INDUSTRIA E  [M0125]
01358874001664,PROCTER & GAMBLE INDUSTRIAL E COMERCIAL LTDA,25,PROCTER & GAMBLE INDUSTR [M0126]
01362538000109,CRV INDUSTRIA DE PRODUTOS NATURAIS E NUTRACEUTICOS LTDA,4,CRV INDUSTRIA DE PRODUTO [M0127]
01383490000115,FARMACIA SAKAFARMA DE LONDRINA LTDA,2,FARMACIA SAKAFARMA DE LO [M0128]
01395137000155,RACHEL DE SA BARRETO CALLOU,5,RACHEL DE SA BARRETO CAL [M0129]
01417367000178,ARKTUS INDUSTRIA E COMERCIO DE PRODUTOS PARA SAUDE LTDA.,43,ARKTUS INDUSTRIA E COMER [M0130]
01440590000136,FRESENIUS MEDICAL CARE LTDA,250,FRESENIUS MEDICAL CARE L [M0131]
01444277000176,DABIO BRASILE IMPORTACAO E EXPORTACAO DE COMPRESSORES DE AR LTDA,7,DABIO BRASILE IMPORTACAO [M0132]
01449930000190,SIEMENS HEALTHCARE DIAGNOSTICOS LTDA.,9,SIEMENS HEALTHCARE DIAGN [M0133]
01468855000104,ARTMED IND. E COM. DE MOVEIS E PRODUTOS HOSPITALARES LTDA,6,ARTMED IND. E COM. DE MO [M0134]
01513946000114,BOSTON SCIENTIFIC DO BRASIL LTDA,5,BOSTON SCIENTIFIC DO BRA [M0135]
01517587000173,FILTRAX INDUSTRIA E COMERCIO DE EQUIPAMENTOS DE PROTECAO LTDA,2,FILTRAX INDUSTRIA E COME [M0136]
01541283000141,INDUSTRIA QUIMICA DO ESTADO DE GOIAS S A IQUEGO,14,INDUSTRIA QUIMICA DO EST [M0137]
01541283000303,INDUSTRIA QUIMICA DO ESTADO DE GOIAS S A IQUEGO,4,INDUSTRIA QUIMICA DO EST [M0138]
01543235000192,D DA C S GARCIA,1,D DA C S GARCIA [M0139]
01564260000152,WASSER FARMA LTDA,248,WASSER FARMA LTDA [M0140]
01571702000198,HALEX ISTAR INDUSTRIA FARMACEUTICA SA,2253,HALEX ISTAR INDUSTRIA FA [M0141]
01583558000100,SAUAD INDUSTRIA FARMACEUTICA LTDA,1,SAUAD INDUSTRIA FARMACEU [M0142]
01592547000196,ESSENCIAL COSMETICOS INDUSTRIA LTDA,2,ESSENCIAL COSMETICOS IND [M0143]
01623403000150,BIOTEXTIL INDUSTRIA E COMERCIO LTDA,222,BIOTEXTIL INDUSTRIA E CO [M0144]
01640262000183,CITOPHARMA MANIPULACAO DE MEDICAMENTOS ESPECIAIS LTDA,12,CITOPHARMA MANIPULACAO D [M0145]
01645409000128,AUTO SUTURE DO BRASIL LTDA.,24,AUTO SUTURE DO BRASIL LT [M0146]
01648513000176,PKB PRODUTOS QUIMICOS LTDA,3,PKB PRODUTOS QUIMICOS LT [M0147]
01651135000180,MAC SANTOS SANCHEZ LTDA,4,MAC SANTOS SANCHEZ LTDA [M0148]
01673902000151,LAERCIO DE ASSIS,9,LAERCIO DE ASSIS [M0149]
01675208000173,PION G PLUS LTDA,7,PION G PLUS LTDA [M0150]
01686305000161,DANIALEX TEC - MATERIAL MEDICO HOSPITALAR LTDA.,2,DANIALEX TEC - MATERIAL  [M0151]
01706665000188,MEDPLUS COMERCIO DE ARTIGOS MEDICOS LTDA,3,MEDPLUS COMERCIO DE ARTI [M0152]
01739415000144,PREVEN INDUSTRIA E COMERCIO DE PRODUTOS ODONTOLOGICOS LTDA,409,PREVEN INDUSTRIA E COMER [M0153]
01744885000104,ECLIPSE TRANSPORTES LTDA,1,ECLIPSE TRANSPORTES LTDA [M0154]
01759236000179,HORIBA INSTRUMENTS BRASIL LTDA,22,HORIBA INSTRUMENTS BRASI [M0155]
01772798000152,MEDTRONIC COMERCIAL LTDA,41,MEDTRONIC COMERCIAL LTDA [M0156]
01772798000233,MEDTRONIC COMERCIAL LTDA,47,MEDTRONIC COMERCIAL LTDA [M0157]
01784792000103,EQUIPLEX INDUSTRIA FARMACEUTICA LTDA -,895,EQUIPLEX INDUSTRIA FARMA [M0158]
01784792000529,EQUIPLEX INDUSTRIA FARMACEUTICA LTDA -,376,EQUIPLEX INDUSTRIA FARMA [M0159]
01786983000104,BEIERSDORF INDUSTRIA E COMERCIO LTDA.,1,BEIERSDORF INDUSTRIA E C [M0160]
01793020000120,HOSPTECH COMERCIO DE EQUIPAMENTOS MEDICO-HOSPITALARES LTDA,1,HOSPTECH COMERCIO DE EQU [M0161]
01801514000109,ACONOX METALURGICA LTDA,36,ACONOX METALURGICA LTDA [M0162]
01814778000105,COMPFERTIL INDUSTRIA E COMERCIO DE COMPOSTO ORGANICO LTDA,41,COMPFERTIL INDUSTRIA E C [M0163]
01827550000141,GIRASSOL FARMACEUTICA & YELLOW COSMETIC LTDA,1,GIRASSOL FARMACEUTICA &  [M0164]
01828775000112,VITAL COMERCIO DE PRODUTOS MEDICOS E HOSPITALARES LTDA,4,VITAL COMERCIO DE PRODUT [M0165]
01831385000100,BLISFARMA INDUSTRIA ALIMENTICIA LTDA,1,BLISFARMA INDUSTRIA ALIM [M0166]
01835769000192,BRAMED MATERIAL CIRURGICO LTDA,1,BRAMED MATERIAL CIRURGIC [M0167]
01858973000129,AIRELA INDUSTRIA FARMACEUTICA LTDA,754,AIRELA INDUSTRIA FARMACE [M0168]
01866908000145,DIAGNO SOLUCOES EM DIAGNOSTICO LTDA,5,DIAGNO SOLUCOES EM DIAGN [M0169]
01879330000161,ORTOPLAST COMERCIO LTDA,2,ORTOPLAST COMERCIO LTDA [M0170]
01911022000176,CANADA CENTRAL DE NEGOCIOS DO BRASIL LTDA,1,CANADA CENTRAL DE NEGOCI [M0171]
01912177000127,AMERICAN MEDICAL DO BRASIL LTDA,6,AMERICAN MEDICAL DO BRAS [M0172]
01932232000140,CALLAMARYS INDUSTRIA E COMERCIO DE COSMETICOS E SANEANTES LTDA,8,CALLAMARYS INDUSTRIA E C [M0173]
01932232000221,CALLAMARYS INDUSTRIA E COMERCIO DE COSMETICOS E SANEANTES LTDA,7,CALLAMARYS INDUSTRIA E C [M0174]
01940597000117,LABNEWS INDUSTRIAL LTDA,2,LABNEWS INDUSTRIAL LTDA [M0175]
01953085000195,F.A. LABORATORIO FARMACEUTICO LTDA,3,F.A. LABORATORIO FARMACE [M0176]
01985366000120,INDUMED COMERCIO IMPORTACAO E EXPORTACAO DE PRODUTOS MEDICOS LTDA,11,INDUMED COMERCIO IMPORTA [M0177]
01987265000198,VALLITECH INDUSTRIA E COMERCIO DE ARTEFATOS METALICOS LTDA,2,VALLITECH INDUSTRIA E CO [M0178]
01997891000165,INJEFLEX INDUSTRIA E COMERCIO DE DISPOSITIVOS E PRODUTOS MEDICOS LTDA,10,INJEFLEX INDUSTRIA E COM [M0179]
01999037000138,LUPLATEX INDUSTRIA E COMERCIO LTDA,1,LUPLATEX INDUSTRIA E COM [M0180]
02004662000165,WERFEN MEDICAL LTDA,1,WERFEN MEDICAL LTDA [M0181]
02005077000180,KORAL PRODUTOS MEDICOS CORRELATOS E DESCARTAVEIS LTDA,8,KORAL PRODUTOS MEDICOS C [M0182]
02012921000108,MEDGAUZE - INDUSTRIA E COMERCIO LTDA,22,MEDGAUZE - INDUSTRIA E C [M0183]
02039112000181,"MICRODONT COMERCIO, IMPORTACAO E EXPORTACAO DE PRODUTOS PARA USO MEDICO E ODONTO LTDA",1672,"MICRODONT COMERCIO, IMPO [M0184]"
02060549000105,F.B.M. INDUSTRIA FARMACEUTICA LTDA,19,F.B.M. INDUSTRIA FARMACE [M0185]
02064224000192,COTTON FIBRA INDUSTRIA E COMERCIO LTDA,2,COTTON FIBRA INDUSTRIA E [M0186]
02068375000119,MEDICICOR COMERCIAL LTDA,5,MEDICICOR COMERCIAL LTDA [M0187]
02074242000155,E.J. KRIEGER & CIA LTDA,1,E.J. KRIEGER & CIA LTDA [M0188]
02095031000107,PHT DO BRASIL COMERCIO LTDA,1,PHT DO BRASIL COMERCIO L [M0189]
02101808000190,ALFA INDUSTRIA E COMERCIO DE MATERIAIS PLASTICOS PARA LABORATORIOS LTDA,10,ALFA INDUSTRIA E COMERCI [M0190]
02120411000146,HIGIE-TOPP INDUSTRIA E COMERCIO DE PRODUTOS HIGIENICOS E TEXTEIS LTDA.,4,HIGIE-TOPP INDUSTRIA E C [M0191]
02121800000196,ICOFA INDUSTRIA E COMERCIO DE FRALDAS E ABSORVENTES LTDA,21,ICOFA INDUSTRIA E COMERC [M0192]
02126465000119,RESPIRATORY CARE HOSPITALAR LTDA,1,RESPIRATORY CARE HOSPITA [M0193]
02163978000108,MASTERFIX INDUSTRIA E COMERCIO LTDA,25,MASTERFIX INDUSTRIA E CO [M0194]
02175931000156,ORLANDO ANTONIO BUSSIOLI,11,ORLANDO ANTONIO BUSSIOLI [M0195]
02177011000177,SYNTEC DO BRASIL LTDA,25,SYNTEC DO BRASIL LTDA [M0196]
02192153000103,HDX OLEODINAMICA LTDA,1,HDX OLEODINAMICA LTDA [M0197]
02193012000105,VENOSAN BRASIL LTDA,14,VENOSAN BRASIL LTDA [M0198]
02216436000148,NORTEXTIL NORDESTE TEXTIL LTDA,17,NORTEXTIL NORDESTE TEXTI [M0199]
02223342000104,STARMED ARTIGOS MEDICOS E HOSPITALARES LTDA,55,STARMED ARTIGOS MEDICOS  [M0200]
02228938000199,"D-X INDUSTRIA, COMERCIO, IMPORTACAO E EXPORTACAO LTDA",25,"D-X INDUSTRIA, COMERCIO, [M0201]"
02238049000102,LUGI PLAST INDUSTRIA E COMERCIO DE PRODUTOS PLASTICOS LTDA,1,LUGI PLAST INDUSTRIA E C [M0202]
02248312000144,CEPALAB LABORATORIOS S.A,71,CEPALAB LABORATORIOS S.A [M0203]
02261002000160,VEDAMAX MANGUEIRAS E VEDACOES LTDA,5,VEDAMAX MANGUEIRAS E VED [M0204]
02281006000100,ISOFARMA INDUSTRIAL FARMACEUTICA LTDA,425,ISOFARMA INDUSTRIAL FARM [M0205]
02290277000121,KIMBERLY -CLARK BRASIL INDUSTRIA E COMERCIO DE PRODUTOS DE HIGIENE LTDA,6,KIMBERLY -CLARK BRASIL I [M0206]
02290277001950,KIMBERLY -CLARK BRASIL INDUSTRIA E COMERCIO DE PRODUTOS DE HIGIENE LTDA,9,KIMBERLY -CLARK BRASIL I [M0207]
02298254000163,RIOPASA - DISTRIBUIDORA DE MEDICAMENTOS LTDA,3,RIOPASA - DISTRIBUIDORA  [M0208]
02317318000126,CRIARTFARMA FARMACIA E MANIPULACAO LTDA,2,CRIARTFARMA FARMACIA E M [M0209]
02332686000143,KERRY DO BRASIL LTDA,2,KERRY DO BRASIL LTDA [M0210]
02340772000106,CIRURGICA COPACABANA 2000 LTDA,7,CIRURGICA COPACABANA 200 [M0211]
02351301000195,SPADON & CALIXTO LTDA,1,SPADON & CALIXTO LTDA [M0212]
02357251000153,LIFEMED INDUSTRIAL DE EQUIPAMENTOS E ARTIGOS MEDICOS E HOSPITALARES S.A.,40,LIFEMED INDUSTRIAL DE EQ [M0213]
02360051000150,TEC BRASIL LTDA,1,TEC BRASIL LTDA [M0214]
02370649000120,BRASUTURE INDUSTRIA COMERCIO IMPORTACAO E EXPORTACAO LTDA,40,BRASUTURE INDUSTRIA COME [M0215]
02377937000106,R.C - MOVEIS LTDA,6,R.C - MOVEIS LTDA [M0216]
02389045000125,SUPER'SOL INDUSTRIA E COMERCIO LTDA,10,SUPER'SOL INDUSTRIA E CO [M0217]
02400787000104,A C E INDUSTRIA E COMERCIO LTDA,547,A C E INDUSTRIA E COMERC [M0218]
02411193000107,ARAUJO LOPES & CIA LTDA,16,ARAUJO LOPES & CIA LTDA [M0219]
02433631000120,ASPEN PHARMA INDUSTRIA FARMACEUTICA LTDA,485,ASPEN PHARMA INDUSTRIA F [M0220]
02446667000148,"ODONTOLOGIC INDUSTRIA E COMERCIO, IMPORTACAO EXPORTACAO LTDA",16,ODONTOLOGIC INDUSTRIA E  [M0221]
02456955000183,NATULAB LABORATORIO S.A,5535,NATULAB LABORATORIO S.A [M0222]
02456955000426,NATULAB LABORATORIO S.A,142,NATULAB LABORATORIO S.A [M0223]
02462483000171,HOSP SAUDE COMERCIO VAREJISTA LTDA,2,HOSP SAUDE COMERCIO VARE [M0224]
02462686000168,YIN'S BRASIL COMERCIO INTERNACIONAL LTDA,2,YIN'S BRASIL COMERCIO IN [M0225]
02473977000151,SITMED EQUIPAMENTOS MEDICOS LTDA,5,SITMED EQUIPAMENTOS MEDI [M0226]
