fabricante_id,fabricante,ocorrencias,rotulo
81196586000103,N MARTINS INDUSTRIA E COMERCIO LTDA,20,N MARTINS INDUSTRIA E CO [M2280]
81591786000160,TDV DENTAL LTDA,66,TDV DENTAL LTDA [M2281]
82195744000173,NJ PLASTICOS IND E COM DE PRODUTOS P LABORATORIOS LTDA,1,NJ PLASTICOS IND E COM D [M2282]
82225947000165,A G KIENEN & CIA LTDA,2,A G KIENEN & CIA LTDA [M2283]
82226754000129,SANTA RITA SERVICOS ADMINISTRATIVOS LTDA,1,SANTA RITA SERVICOS ADMI [M2284]
82277955000155,NOVO NORDISK FARMACEUTICA DO BRASIL LTDA,1065,NOVO NORDISK FARMACEUTIC [M2285]
82277955000740,NOVO NORDISK FARMACEUTICA DO BRASIL LTDA,8,NOVO NORDISK FARMACEUTIC [M2286]
82297680000111,STERICONTROL LTDA,9,STERICONTROL LTDA [M2287]
82387226000151,DUOMED PRODUTOS MEDICOS E HOSPITALARES LTDA,2,DUOMED PRODUTOS MEDICOS  [M2288]
82478140000134,"SALVI, LOPES & CIA. LTDA",1,"SALVI, LOPES & CIA. LTDA [M2289]"
82641325000118,CREMER S.A.,392,CREMER S.A. [M2290]
82641325001866,CREMER S.A.,81,CREMER S.A. [M2291]
82873068000735,GENESIO A MENDES & CIA LTDA,2,GENESIO A MENDES & CIA L [M2292]
82914334000135,DAHUER LABORATORIO LTDA,7,DAHUER LABORATORIO LTDA [M2293]
83062174000106,AZEPLAST INDUSTRIA E COMERCIO LTDA,5,AZEPLAST INDUSTRIA E COM [M2294]
83200105000111,MEDIX DISTRIBUICAO COMERCIO E REPRESENTACAO LTDA,324,MEDIX DISTRIBUICAO COMER [M2295]
83821280000126,MGF COMERCIO DE COSMETICOS LTDA,5,MGF COMERCIO DE COSMETIC [M2296]
83874628000143,LABORATORIO FARMACEUTICO ELOFAR LTDA.,271,LABORATORIO FARMACEUTICO [M2297]
83874628000305,LABORATORIO FARMACEUTICO ELOFAR LTDA.,21,LABORATORIO FARMACEUTICO [M2298]
84551191000170,SILVA & SILVA PRODUTOS FARMACEUTICOS LTDA,33,SILVA & SILVA PRODUTOS F [M2299]
84683382000195,MINANCORA & CIA LTDA,1,MINANCORA & CIA LTDA [M2300]
84683556000110,EH BRASIL INDUSTRIA E COMERCIO LTDA.,419,EH BRASIL INDUSTRIA E CO [M2301]
84683556000381,EH BRASIL INDUSTRIA E COMERCIO LTDA.,2,EH BRASIL INDUSTRIA E CO [M2302]
84684620000187,LABORATORIO CATARINENSE LTDA,42,LABORATORIO CATARINENSE  [M2303]
84704683000158,QUIMIDROL COMERCIO INDUSTRIA IMPORTACAO LTDA,88,QUIMIDROL COMERCIO INDUS [M2304]
84833888000133,BIODINAMICA QUIMICA E FARMACEUTICA LTDA,869,BIODINAMICA QUIMICA E FA [M2305]
84859552000140,STERMAX PRODUTOS MEDICOS LTDA,10,STERMAX PRODUTOS MEDICOS [M2306]
84859552000220,STERMAX PRODUTOS MEDICOS LTDA,2,STERMAX PRODUTOS MEDICOS [M2307]
84932979000630,BONA FARMA LTDA,1,BONA FARMA LTDA [M2308]
84966498000131,MAXICOR PRODUTOS MEDICOS LTDA,111,MAXICOR PRODUTOS MEDICOS [M2309]
85081446000140,JOHNNY FELIPE CONTESINI DE OLIVEIRA LTDA,1,JOHNNY FELIPE CONTESINI  [M2310]
85228880000100,ORLEPLAST INDUSTRIA E COMERCIO DE PLASTICOS LTDA,1,ORLEPLAST INDUSTRIA E CO [M2311]
85247385000149,PROSAUDE DISTRIBUIDORA DE MEDICAMENTOS LTDA,1,PROSAUDE DISTRIBUIDORA D [M2312]
85477586000132,ECO-FARMAS COMERCIO DE MEDICAMENTOS LTDA,1,ECO-FARMAS COMERCIO DE M [M2313]
85511954000111,SUPERVALE VERDE INDUSTRIA DE PRODUTOS QUIMICOS LTDA,9,SUPERVALE VERDE INDUSTRI [M2314]
86046448000161,CONDOR S.A,2,CONDOR S.A [M2315]
86647138000100,SANTALMAS COMERCIO IMPORTACAO EXPORTACAO LTDA,2,SANTALMAS COMERCIO IMPOR [M2316]
87000782000147,NUTRABEM BIO TECNOLOGIA LTDA,2,NUTRABEM BIO TECNOLOGIA  [M2317]
87124384000132,QUIMICA CENIT DO BRASIL LTDA,10,QUIMICA CENIT DO BRASIL  [M2318]
87156352000119,INCOTERM SOLUCOES EM MEDICAO LTDA,72,INCOTERM SOLUCOES EM MED [M2319]
87375952000178,LEBON PRODUTOS QUIMICOS FARMACEUTICOS LTDA,1,LEBON PRODUTOS QUIMICOS  [M2320]
87642666000121,MECSUL MAQUINAS E EQUIPAMENTOS LTDA,7,MECSUL MAQUINAS E EQUIPA [M2321]
87651345000193,G GOTUZZO E CIA LTDA,1,G GOTUZZO E CIA LTDA [M2322]
88303433000167,ITM INDUSTRIA DE TECNOLOGIAS MEDICAS LTDA.,1,ITM INDUSTRIA DE TECNOLO [M2323]
88610555000104,INDUSTRIA FARMACEUTICA BASA LTDA EM RECUPERACAO JUDICIAL,6,INDUSTRIA FARMACEUTICA B [M2324]
88634977000101,SOPRANO INDUSTRIA ELETROMETALURGICA LTDA,2,SOPRANO INDUSTRIA ELETRO [M2325]
88957022000195,MUZYMED INSTRUMENTAL CIRURGICO LTDA,3,MUZYMED INSTRUMENTAL CIR [M2326]
