fornecedor_id,fornecedor,ocorrencias,rotulo
05997927000161,MEDIC STOCK COMERCIO DE PRODUTOS MEDICOS HOSPITALARES LTDA,11,MEDIC STOCK COMERCIO DE  [F0630]
06023734000172,C R G DE MELO JUNIOR COMERCIO E DISTRIBUIDORA DE MEDICAMENTOS,176,C R G DE MELO JUNIOR COM [F0631]
06029006000178,MDA INDUSTRIA E COMERCIO LTDA,8,MDA INDUSTRIA E COMERCIO [F0632]
06053353000136,SANTA BRANCA DISTRIBUIDORA DE MEDICAMENTOS LTDA,2,SANTA BRANCA DISTRIBUIDO [F0633]
06059923000103,CELIA DA CUNHA FRANCA LTDA,343,CELIA DA CUNHA FRANCA LT [F0634]
06065614000138,SUPERMEDICA DISTRIBUIDORA HOSPITALAR LTDA,225,SUPERMEDICA DISTRIBUIDOR [F0635]
06076833000112,ABL - SAUDE LTDA,4,ABL - SAUDE LTDA [F0636]
06081203000136,HOSP - LOG COMERCIO DE PRODUTOS HOSPITALARES LTDA,81,HOSP - LOG COMERCIO DE P [F0637]
06086578000199,M. G. GIACOMETTI DROGARIA LTDA,182,M. G. GIACOMETTI DROGARI [F0638]
06098484000130,CELESTE DISTRIBUIDORA DE MEDICAMENTOS LTDA,107,CELESTE DISTRIBUIDORA DE [F0639]
06105362000123,ACCUMED PRODUTOS MEDICO HOSPITALARES LTDA,8,ACCUMED PRODUTOS MEDICO  [F0640]
06106005000180,STOCK MED S.A,483,STOCK MED S.A [F0641]
06114172000172,MAX MED - PRODUTOS CIRURGICOS LTDA,125,MAX MED - PRODUTOS CIRUR [F0642]
06127890000183,CONKAST EQUIPAMENTOS TECNOLOGICOS LTDA,4,CONKAST EQUIPAMENTOS TEC [F0643]
06131330000100,VIVAMED EQUIPAMENTOS MEDICO-HOSPITALARES LTDA,5,VIVAMED EQUIPAMENTOS MED [F0644]
06131363000142,WERLANG & BRANDALIZZE MEDICAMENTOS LTDA,11,WERLANG & BRANDALIZZE ME [F0645]
06132785000132,MEDVIDA DISTRIBUIDORA DE MEDICAMENTOS HOSPITALAR LTDA,943,MEDVIDA DISTRIBUIDORA DE [F0646]
06143681000123,BIOSANI INDUSTRIA E COMERCIO DE PRODUTOS MEDICOS E ODONTOLOGICOS LTDA,2,BIOSANI INDUSTRIA E COME [F0647]
06149569000108,MED CARMO HOSPITALAR LTDA,9,MED CARMO HOSPITALAR LTD [F0648]
06150220000188,DENTSUL COMERCIO DE MATERIAIS ODONTOLOGICOS LTDA,30,DENTSUL COMERCIO DE MATE [F0649]
06150919000148,W.L. BOLSAS DORES DE CAMPOS LTDA,2,W.L. BOLSAS DORES DE CAM [F0650]
06157734000165,GLOBAL TEC INDUSTRIA E COMERCIO DE PRODUTOS MEDICOS LTDA,5,GLOBAL TEC INDUSTRIA E C [F0651]
06166072000190,CIRURGICA ESTRELA IPIGUA PRODUTOS HOSPITALAR LTDA,23,CIRURGICA ESTRELA IPIGUA [F0652]
06170280000162,INOVAMEDICA COMERCIO DE PRODUTOS MEDICOS LTDA,41,INOVAMEDICA COMERCIO DE  [F0653]
06170316000108,A. G. INDUSTRIA E COMERCIO DE ARTEFATOS PLASTICOS LTDA,2,A. G. INDUSTRIA E COMERC [F0654]
06170316000531,A. G. INDUSTRIA E COMERCIO DE ARTEFATOS PLASTICOS LTDA,1,A. G. INDUSTRIA E COMERC [F0655]
06175908000112,BIO LOGICA DISTRIBUIDORA LTDA,446,BIO LOGICA DISTRIBUIDORA [F0656]
