fornecedor_id,fornecedor,ocorrencias,rotulo
00028682000140,PROMEDON DO BRASIL PRODUTOS MEDICO HOSPITALARES LTDA,7,PROMEDON DO BRASIL PRODU [F0001]
00029372000140,GE HEALTHCARE DO BRASIL COMERCIO E SERVICOS PARA EQUIPAMENTOS MEDICO-HOSPITALARES LTDA,2,GE HEALTHCARE DO BRASIL  [F0002]
00029372000736,GE HEALTHCARE DO BRASIL COMERCIO E SERVICOS PARA EQUIPAMENTOS MEDICO-HOSPITALARES LTDA,5,GE HEALTHCARE DO BRASIL  [F0003]
00059062000179,CRYSSIL FORNECEDORA DE MATERIAIS E SERVICOS ESPECIALIZADOSLTDA,1,CRYSSIL FORNECEDORA DE M [F0004]
00064780000133,HS MED COMERCIO DE ARTIGOS HOSPITALARES LTDA,317,HS MED COMERCIO DE ARTIG [F0005]
00072182000106,ROSSI PRODUTOS HOSPITALARES LTDA,74,ROSSI PRODUTOS HOSPITALA [F0006]
00085822000112,ESPECIFARMA COM DE MEDICAMENTOS E PRO HOSPITALARES LTDA,176,ESPECIFARMA COM DE MEDIC [F0007]
00088317000121,VICTORIA COMERCIO DE PRODUTOS HOSPITALARES LTDA,294,VICTORIA COMERCIO DE PRO [F0008]
00097489000161,L A VIDAL IMPORTACAO E EXPORTACAO LTDA.,16,L A VIDAL IMPORTACAO E E [F0009]
00098242000160,PRONTOFAR LTDA,4,PRONTOFAR LTDA [F0010]
00150371000150,LODERME FARMACIA DE MANIPULACAO LTDA,8,LODERME FARMACIA DE MANI [F0011]
00156820000177,HOSPMED LTDA,83,HOSPMED LTDA [F0012]
00174282000143,ODONTO TCHE - COMERCIO DE PRODUTOS E EQUIPAMENTOS ODONTOLOGICOS LTDA,1,ODONTO TCHE - COMERCIO D [F0013]
00175233000125,TRES LEOES MATERIAL HOSPITALAR LTDA,90,TRES LEOES MATERIAL HOSP [F0014]
00192190000196,OFTALMOPHARMA INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,12,OFTALMOPHARMA INDUSTRIA  [F0015]
00203590000150,SIDD COMERCIAL DISTRIBUIDORA DE MEDICAMENTOS LTDA,31,SIDD COMERCIAL DISTRIBUI [F0016]
00236193000184,CIRURGICA RECIFE COMERCIO E REPRESENTACOES LTDA,827,CIRURGICA RECIFE COMERCI [F0017]
00331788001271,AIR LIQUIDE BRASIL LTDA,1,AIR LIQUIDE BRASIL LTDA [F0018]
00331788001603,AIR LIQUIDE BRASIL LTDA,4,AIR LIQUIDE BRASIL LTDA [F0019]
00331788002910,AIR LIQUIDE BRASIL LTDA,1,AIR LIQUIDE BRASIL LTDA [F0020]
00339246000192,LONDRICIR COMERCIO DE MATERIAL HOSPITALAR LTDA,100,LONDRICIR COMERCIO DE MA [F0021]
00358519000146,"RCC - DISTRIBUIDORA DE MEDICAMENTOS, CORRELATOS E PRODUTOS MEDICOS E HOSPITALARES LTDA",133,RCC - DISTRIBUIDORA DE M [F0022]
00376959000126,IFAL IND E COM DE PRODUTOS FARMACEUTICOS LTDA,26,IFAL IND E COM DE PRODUT [F0023]
00411441000186,MK PRODUTOS MEDICO HOSPITALARES LTDA,5,MK PRODUTOS MEDICO HOSPI [F0024]
00447821003005,DROGARIA ROSARIO S/A,7,DROGARIA ROSARIO S/A [F0025]
00453515000147,FARMACIA GINAP LTDA,2,FARMACIA GINAP LTDA [F0026]
00463305000130,MARCHET DE SA BARRETO CALLOU,1,MARCHET DE SA BARRETO CA [F0027]
00467916000156,MAJ LAB - COMERCIO E MANUTENCAO DE EQUIPAMENTOS PARA LABORATORIO LTDA,12,MAJ LAB - COMERCIO E MAN [F0028]
00468680000172,LABOTEK COMERCIO E DISTRIBUICAO DE PRODUTOS HOSPITALARES LTDA,25,LABOTEK COMERCIO E DISTR [F0029]
00512932000113,QUALYS DIAGNOSTICOS COMERCIO LTDA.,1,QUALYS DIAGNOSTICOS COME [F0030]
00535560000140,LPK LTDA,2,LPK LTDA [F0031]
00535818000109,M MARCHIORE COMERCIAL FARMACEUTICA LTDA,2,M MARCHIORE COMERCIAL FA [F0032]
00542467000163,A B DESCARTAVEIS INDUSTRIA E COMERCIO LTDA,1,A B DESCARTAVEIS INDUSTR [F0033]
00545222000190,PROFARM COMERCIO DE MEDICAMENTOS E MATERIAL HOSPITALAR LTDA,1327,PROFARM COMERCIO DE MEDI [F0034]
00562583000144,RENYLAB - QUIMICA E FARMACEUTICA LTDA,12,RENYLAB - QUIMICA E FARM [F0035]
00596529000110,GENETICA COMERCIO IMPORTACAO E EXPORTACAO LTDA,4,GENETICA COMERCIO IMPORT [F0036]
00647694000153,R N F DE SOUZA & CIA LTDA,369,R N F DE SOUZA & CIA LTD [F0037]
00656468000139,SOMA/PR COMERCIO DE PRODUTOS HOSPITALARES LTDA,1996,SOMA/PR COMERCIO DE PROD [F0038]
00659050000185,CENTER MED COMERCIAL LTDA,388,CENTER MED COMERCIAL LTD [F0039]
00671994000178,GIROGAZ COMERCIAL DE OXIGENIO LTDA,5,GIROGAZ COMERCIAL DE OXI [F0040]
00683826000100,BIONEFRO COMERCIO DE MATERIAL HOSPITALAR LTDA,11,BIONEFRO COMERCIO DE MAT [F0041]
00691555000127,DECIO CAMARGO - PRODUTOS E EQUIPAMENTOS LABORATORIAIS LTDA.,3,DECIO CAMARGO - PRODUTOS [F0042]
00733472000153,DINAMICA MERCANTIL LTDA,39,DINAMICA MERCANTIL LTDA [F0043]
00735260000105,MED-SURGERY HOSPITALAR LTDA,3,MED-SURGERY HOSPITALAR L [F0044]
00740696000192,PMH PRODUTOS MEDICOS HOSPITALARES LTDA,1,PMH PRODUTOS MEDICOS HOS [F0045]
00744718000192,EDISON LUIZ SCHONHORST,2,EDISON LUIZ SCHONHORST [F0046]
00749145000190,FDA ALLERGENIC FARMACEUTICA LTDA,1,FDA ALLERGENIC FARMACEUT [F0047]
00787540000167,VERBENNA FARMACIA DE MANIPULACAO LTDA,1,VERBENNA FARMACIA DE MAN [F0048]
00795813000115,ALEANDRO GONCALVES PASSARINHO,1,ALEANDRO GONCALVES PASSA [F0049]
00799666000151,BRASFARMA COMERCIO DE MEDICAMENTOS LTDA,34,BRASFARMA COMERCIO DE ME [F0050]
00802002000102,ALTERMED MATERIAL MEDICO HOSPITALAR LTDA,6022,ALTERMED MATERIAL MEDICO [F0051]
00809672000142,FARMALIBRA COMERCIO DE PRODUTOS HOSPITALARES LTDA,105,FARMALIBRA COMERCIO DE P [F0052]
00826788000190,PEDS TREINAMENTOS E ASSESSORIA EMPRESARIAL LTDA,5,PEDS TREINAMENTOS E ASSE [F0053]
00857492000136,SOGAMAX DISTRIBUIDORA DE PRODUTOS FARMACEUTICOS LTDA,12,SOGAMAX DISTRIBUIDORA DE [F0054]
00860254000180,MULTILAB LABORATORIO DE ANALISES CLINICAS LTDA,1,MULTILAB LABORATORIO DE  [F0055]
00874929000140,MED CENTER COMERCIAL LTDA,1482,MED CENTER COMERCIAL LTD [F0056]
00890752000175,BRIUTE COMERCIO DE PRODUTOS E EQUIPAMENTOS HOSPITALARES LTDA,2,BRIUTE COMERCIO DE PRODU [F0057]
00891001000173,ENDO-TEC COM.E REPRESENTACAO DE MAT.CIRURGICOS LTDA,1,ENDO-TEC COM.E REPRESENT [F0058]
00895119000170,SANFARMA COMERCIO DE MEDICAMENTOS LTDA,937,SANFARMA COMERCIO DE MED [F0059]
00906250000195,MARMED COMERCIO DE MEDICAMENTOS LTDA,1,MARMED COMERCIO DE MEDIC [F0060]
00923140000131,EMS SIGMA PHARMA LTDA,2,EMS SIGMA PHARMA LTDA [F0061]
00938703000165,HOLLISTER DO BRASIL LTDA,3,HOLLISTER DO BRASIL LTDA [F0062]
00941837000135,J BASILIO COMERCIO DE GASES LTDA,3,J BASILIO COMERCIO DE GA [F0063]
00949616000103,COLLERE COMERCIO DE MEDICAMENTOS LTDA.,3,COLLERE COMERCIO DE MEDI [F0064]
00956869000104,COM REP MACIEL CAVALCANTI LTDA,66,COM REP MACIEL CAVALCANT [F0065]
00967987000118,MCS ADMINISTRADORA DE BENS LTDA,1,MCS ADMINISTRADORA DE BE [F0066]
00969505000169,OLIVA & OLIVA FARMACIA LTDA,8,OLIVA & OLIVA FARMACIA L [F0067]
00970175000121,M.S DIAGNOSTICA LTDA,107,M.S DIAGNOSTICA LTDA [F0068]
00995371000150,STOCK COMERCIAL HOSPITALAR LTDA - EM RECUPERACAO JUDICIAL,4,STOCK COMERCIAL HOSPITAL [F0069]
01005728000179,LABOR IMPORT COMERCIAL IMPORTADORA EXPORTADORA LTDA,1,LABOR IMPORT COMERCIAL I [F0070]
01009452000105,D C S VASCONCELOS,46,D C S VASCONCELOS [F0071]
01056338000128,ENDOCIRURGICA - COMERCIO DE PRODUTOS MEDICOS LTDA.,2,ENDOCIRURGICA - COMERCIO [F0072]
01057428000214,DESCARPACK DESCARTAVEIS DO BRASIL LTDA,1,DESCARPACK DESCARTAVEIS  [F0073]
01107391001182,SUPPORT PRODUTOS NUTRICIONAIS LTDA,16,SUPPORT PRODUTOS NUTRICI [F0074]
01107391001263,SUPPORT PRODUTOS NUTRICIONAIS LTDA,80,SUPPORT PRODUTOS NUTRICI [F0075]
01114218000130,FARMANIA FARMACIA DE MANIPULACAO LTDA,3,FARMANIA FARMACIA DE MAN [F0076]
01122234000174,IMPORT SERVICE MATERIAL MEDICO HOSPITALAR LTDA,54,IMPORT SERVICE MATERIAL  [F0077]
01130257000120,L D NANDI LTDA,18,L D NANDI LTDA [F0078]
01140868000150,CIRURGICA OLIMPIO LTDA,2177,CIRURGICA OLIMPIO LTDA [F0079]
01154761000160,M. DI BUONO RIATO LTDA,1,M. DI BUONO RIATO LTDA [F0080]
01154827000112,FENIX DISTRIBUIDORA DE MATERIAIS HOSPITALARES LTDA,2,FENIX DISTRIBUIDORA DE M [F0081]
01178574000117,ABC DATASAUDE SERVICOS FARMACEUTICOS LTDA,4,ABC DATASAUDE SERVICOS F [F0082]
01184342000171,A C P CORREA & CIA LTDA,12,A C P CORREA & CIA LTDA [F0083]
01200068000187,ALPHAMED PAULISTA LTDA,3,ALPHAMED PAULISTA LTDA [F0084]
01202521000194,PLASTIC WAY PRODUTOS PARA A SAUDE LTDA,3,PLASTIC WAY PRODUTOS PAR [F0085]
01226416000195,NUTRIMED SERV. MEDICOS EM NUTRICAO PARENT. E ENTERAL LTDA,4,NUTRIMED SERV. MEDICOS E [F0086]
01264836000166,POLIDERM COMERCIAL E DISTRIBUIDORA LTDA,4,POLIDERM COMERCIAL E DIS [F0087]
01294500000146,CENTERMED CIRURGICA LTDA,18,CENTERMED CIRURGICA LTDA [F0088]
01298443000254,MAGNAMED TECNOLOGIA MEDICA S/A,2,MAGNAMED TECNOLOGIA MEDI [F0089]
01310222000173,MAFRA LOCACOES LTDA.,1,MAFRA LOCACOES LTDA. [F0090]
01324654000133,IMPORT HOSPITALAR LTDA,3,IMPORT HOSPITALAR LTDA [F0091]
01326495000106,DISNORMA COMERCIO ATACADISTA DE MEDICAMENTOS E MATERIAL MEDICO HOSPITALAR LTDA,5,DISNORMA COMERCIO ATACAD [F0092]
01326569000104,DENTALSHOP PRODUTOS ODONTOLOGICOS LTDA,1,DENTALSHOP PRODUTOS ODON [F0093]
01328535000159,CLASSMED - PRODUTOS HOSPITALARES LTDA,1269,CLASSMED - PRODUTOS HOSP [F0094]
01371480000160,PREVENCAO COMERCIAL HOSPITALAR LTDA,1,PREVENCAO COMERCIAL HOSP [F0095]
01383490000115,FARMACIA SAKAFARMA DE LONDRINA LTDA,1,FARMACIA SAKAFARMA DE LO [F0096]
01402400000196,CHRISPIM NEDI CARRILHO LTDA,11,CHRISPIM NEDI CARRILHO L [F0097]
01409230000171,WOORD & MAURO LTDA,78,WOORD & MAURO LTDA [F0098]
01417694000120,DISTRIMIX DISTRIBUIDORA DE MEDICAMENTOS LTDA,470,DISTRIMIX DISTRIBUIDORA  [F0099]
01417694000472,DISTRIMIX DISTRIBUIDORA DE MEDICAMENTOS LTDA,135,DISTRIMIX DISTRIBUIDORA  [F0100]
01422569000108,DROGARIA E FARMACIA NUNES PEREIRA LTDA,76,DROGARIA E FARMACIA NUNE [F0101]
01440590000136,FRESENIUS MEDICAL CARE LTDA,3,FRESENIUS MEDICAL CARE L [F0102]
01447737000110,BRW SUPORTE E LOGISTICA PARA SAUDE LTDA,2,BRW SUPORTE E LOGISTICA  [F0103]
01449930000190,SIEMENS HEALTHCARE DIAGNOSTICOS LTDA.,1,SIEMENS HEALTHCARE DIAGN [F0104]
01463618000150,SERGILAB PRODUTOS HOSPITALARES E LABORATORIAIS LTDA,12,SERGILAB PRODUTOS HOSPIT [F0105]
01470743000198,BLUMEDICA PRODUTOS MEDICOS E CIRURGICOS LTDA,55,BLUMEDICA PRODUTOS MEDIC [F0106]
01478274000153,N.F.N.A. FARMACEUTICA LTDA,1,N.F.N.A. FARMACEUTICA LT [F0107]
01513946000114,BOSTON SCIENTIFIC DO BRASIL LTDA,1,BOSTON SCIENTIFIC DO BRA [F0108]
01536135000139,TIRADENTES MEDICO HOSPITALAR LTDA,3,TIRADENTES MEDICO HOSPIT [F0109]
01541283000141,INDUSTRIA QUIMICA DO ESTADO DE GOIAS S A IQUEGO,4,INDUSTRIA QUIMICA DO EST [F0110]
01541283000303,INDUSTRIA QUIMICA DO ESTADO DE GOIAS S A IQUEGO,4,INDUSTRIA QUIMICA DO EST [F0111]
01549986000116,MICRO COMERCIO E SERVICOS LTDA,9,MICRO COMERCIO E SERVICO [F0112]
01571702000198,HALEX ISTAR INDUSTRIA FARMACEUTICA SA,248,HALEX ISTAR INDUSTRIA FA [F0113]
01578276000114,ASLI COMERCIAL LTDA,27,ASLI COMERCIAL LTDA [F0114]
01592547000196,ESSENCIAL COSMETICOS INDUSTRIA LTDA,3,ESSENCIAL COSMETICOS IND [F0115]
01623403000150,BIOTEXTIL INDUSTRIA E COMERCIO LTDA,1,BIOTEXTIL INDUSTRIA E CO [F0116]
01640262000183,CITOPHARMA MANIPULACAO DE MEDICAMENTOS ESPECIAIS LTDA,6,CITOPHARMA MANIPULACAO D [F0117]
01645409000390,AUTO SUTURE DO BRASIL LTDA.,2,AUTO SUTURE DO BRASIL LT [F0118]
01648513000176,PKB PRODUTOS QUIMICOS LTDA,3,PKB PRODUTOS QUIMICOS LT [F0119]
01686305000161,DANIALEX TEC - MATERIAL MEDICO HOSPITALAR LTDA.,1,DANIALEX TEC - MATERIAL  [F0120]
01687725000162,CENTRO ESPECIALIZADO EM NUTRICAO ENTERAL E PARENTERAL - CENEP LTDA,4,CENTRO ESPECIALIZADO EM  [F0121]
01706665000188,MEDPLUS COMERCIO DE ARTIGOS MEDICOS LTDA,1,MEDPLUS COMERCIO DE ARTI [F0122]
01708499000159,DECARES COMERCIO LTDA,2,DECARES COMERCIO LTDA [F0123]
01722296000117,PANORAMA COMERCIO DE PRODUTOS MEDICOS E FARMACEUTICOS LTDA,345,PANORAMA COMERCIO DE PRO [F0124]
01733345000117,NOELI VIEIRA DISTRIBUIDORA DE SOROS E EQUIPAMENTOS MEDICOS LTDA,65,NOELI VIEIRA DISTRIBUIDO [F0125]
01772798000152,MEDTRONIC COMERCIAL LTDA,1,MEDTRONIC COMERCIAL LTDA [F0126]
01772798000233,MEDTRONIC COMERCIAL LTDA,88,MEDTRONIC COMERCIAL LTDA [F0127]
01784792000103,EQUIPLEX INDUSTRIA FARMACEUTICA LTDA -,4,EQUIPLEX INDUSTRIA FARMA [F0128]
01825779000147,MUNICIPIO DE NAZARE DO PIAUI - SECRETARIA DE SAUDE,1,MUNICIPIO DE NAZARE DO P [F0129]
01827550000141,GIRASSOL FARMACEUTICA & YELLOW COSMETIC LTDA,3,GIRASSOL FARMACEUTICA &  [F0130]
01831385000100,BLISFARMA INDUSTRIA ALIMENTICIA LTDA,3,BLISFARMA INDUSTRIA ALIM [F0131]
01854654000145,PONTUAL COMERCIAL LTDA,12,PONTUAL COMERCIAL LTDA [F0132]
01857076000109,VALINPHARMA COMERCIO E REPRESENTACOES LTDA,228,VALINPHARMA COMERCIO E R [F0133]
01858973000129,AIRELA INDUSTRIA FARMACEUTICA LTDA,3,AIRELA INDUSTRIA FARMACE [F0134]
01884446000199,TECNOVIDA COMERCIAL LTDA,3,TECNOVIDA COMERCIAL LTDA [F0135]
01925587000102,NUTRIC - NUTRICIONAL COMERCIO LTDA,12,NUTRIC - NUTRICIONAL COM [F0136]
01987265000198,VALLITECH INDUSTRIA E COMERCIO DE ARTEFATOS METALICOS LTDA,1,VALLITECH INDUSTRIA E CO [F0137]
02005077000180,KORAL PRODUTOS MEDICOS CORRELATOS E DESCARTAVEIS LTDA,4,KORAL PRODUTOS MEDICOS C [F0138]
02078622000168,BIOMEDICAL COMERCIO E DISTRIBUICAO DE PRODUTOS CORRELATOS LTDA,26,BIOMEDICAL COMERCIO E DI [F0139]
02121800000196,ICOFA INDUSTRIA E COMERCIO DE FRALDAS E ABSORVENTES LTDA,12,ICOFA INDUSTRIA E COMERC [F0140]
02136854000125,E.C. DOS SANTOS COMERCIAL LTDA,291,E.C. DOS SANTOS COMERCIA [F0141]
02160869000129,DL NUTRICAO CLINICA LTDA,45,DL NUTRICAO CLINICA LTDA [F0142]
02165865000133,SUPRAMED COMERCIO DE PRODUTOS ODONTO MEDICO-HOSPITALAR LTDA,13,SUPRAMED COMERCIO DE PRO [F0143]
02192606000100,FARMACIA CANABARRENSE LTDA,6,FARMACIA CANABARRENSE LT [F0144]
02193224000192,MEDICAL CENTER IMPORTADORA LTDA,10,MEDICAL CENTER IMPORTADO [F0145]
02209788000176,ESTRELA COMERCIO DE PRODUTOS MEDICOS E HOSPITALARES LTDA,35,ESTRELA COMERCIO DE PROD [F0146]
02223342000104,STARMED ARTIGOS MEDICOS E HOSPITALARES LTDA,157,STARMED ARTIGOS MEDICOS  [F0147]
02228938000199,"D-X INDUSTRIA, COMERCIO, IMPORTACAO E EXPORTACAO LTDA",9,"D-X INDUSTRIA, COMERCIO, [F0148]"
02248312000144,CEPALAB LABORATORIOS S.A,50,CEPALAB LABORATORIOS S.A [F0149]
02281006000100,ISOFARMA INDUSTRIAL FARMACEUTICA LTDA,1,ISOFARMA INDUSTRIAL FARM [F0150]
02282433000102,FRANLAB COMERCIO E REPRESENTACOES DE PRODUTOS MEDICO-HOSPITALARES LTDA,6,FRANLAB COMERCIO E REPRE [F0151]
02298254000163,RIOPASA - DISTRIBUIDORA DE MEDICAMENTOS LTDA,2,RIOPASA - DISTRIBUIDORA  [F0152]
02305767000154,MAT MED HOSPITALAR LTDA,6,MAT MED HOSPITALAR LTDA [F0153]
02313859000186,LUCIO JOAQUIM ELLER,3,LUCIO JOAQUIM ELLER [F0154]
02317318000126,CRIARTFARMA FARMACIA E MANIPULACAO LTDA,2,CRIARTFARMA FARMACIA E M [F0155]
02335871000191,DISPROFARMA COMERCIO LTDA,232,DISPROFARMA COMERCIO LTD [F0156]
02350719000188,EQUIMED - PRODUTOS E EQUIPAMENTOS MEDICOHOSPITALAR E ODONTOLOGICO LTDA,4,EQUIMED - PRODUTOS E EQU [F0157]
02355225000196,MULTI MED HOSPITALAR LTDA,29,MULTI MED HOSPITALAR LTD [F0158]
02356205000130,A.B.S. PRODUTOS HOSPITALARES LTDA,1,A.B.S. PRODUTOS HOSPITAL [F0159]
02357251000153,LIFEMED INDUSTRIAL DE EQUIPAMENTOS E ARTIGOS MEDICOS E HOSPITALARES S.A.,8,LIFEMED INDUSTRIAL DE EQ [F0160]
02365705000138,TECNYMAGEM SUPRIMENTOS HOSPITALARES LTDA,8,TECNYMAGEM SUPRIMENTOS H [F0161]
02375705000119,DENTAL SUL AMERICA COMERCIAL LTDA,26,DENTAL SUL AMERICA COMER [F0162]
02376490000150,MEDICAL SUTURE COMERCIO DE MATERIAL HOSPITALAR LTDA,5,MEDICAL SUTURE COMERCIO  [F0163]
02377937000106,R.C - MOVEIS LTDA,5,R.C - MOVEIS LTDA [F0164]
02400787000104,A C E INDUSTRIA E COMERCIO LTDA,2,A C E INDUSTRIA E COMERC [F0165]
02419460000184,LABTECH PRODUTOS PARA LABORATORIOS E HOSPITAIS LTDA,8,LABTECH PRODUTOS PARA LA [F0166]
02421679000118,DIVIMED COMERCIO DE PRODUTOS HOSPITALARES LTDA,3,DIVIMED COMERCIO DE PROD [F0167]
02424344000153,DISTRIBUICAO DE MEDICAMENTOS PAMED LTDA,78,DISTRIBUICAO DE MEDICAME [F0168]
02433631000120,ASPEN PHARMA INDUSTRIA FARMACEUTICA LTDA,7,ASPEN PHARMA INDUSTRIA F [F0169]
02446667000148,"ODONTOLOGIC INDUSTRIA E COMERCIO, IMPORTACAO EXPORTACAO LTDA",1,ODONTOLOGIC INDUSTRIA E  [F0170]
02456955000183,NATULAB LABORATORIO S.A,21,NATULAB LABORATORIO S.A [F0171]
02457692000127,QUALIQUIMICA ARTIGOS PARA LABORATORIOS LTDA,1,QUALIQUIMICA ARTIGOS PAR [F0172]
02462483000171,HOSP SAUDE COMERCIO VAREJISTA LTDA,5,HOSP SAUDE COMERCIO VARE [F0173]
02472743000190,DIMALAB ELETRONICS DO BRASIL LTDA,44,DIMALAB ELETRONICS DO BR [F0174]
02473977000151,SITMED EQUIPAMENTOS MEDICOS LTDA,1,SITMED EQUIPAMENTOS MEDI [F0175]
02475985000137,COVAN - COMERCIO VAREJISTA E ATACADISTA DO NORTE LTDA,866,COVAN - COMERCIO VAREJIS [F0176]
02476399000107,MGM FARMA LTDA,1,MGM FARMA LTDA [F0177]
02477571000147,DENTAL MED SUL ARTIGOS ODONTOLOGICOS LTDA,30,DENTAL MED SUL ARTIGOS O [F0178]
02482141000113,DENTAL BONSUCESSO PRODUTOS ODONTOLOGICOS LTDA,19,DENTAL BONSUCESSO PRODUT [F0179]
02486788000113,CRISTALMED COMERCIO DE MEDICAMENTOS LTDA,3,CRISTALMED COMERCIO DE M [F0180]
02494715000173,COOPERATIVA UNIMED CENTRAL DE COOPERATIVAS UNIMED DO RIO GRANDE DO SUL LTDA,30,COOPERATIVA UNIMED CENTR [F0181]
02501219000108,RIVIERA VASSOURENSE DROGARIA LTDA,2,RIVIERA VASSOURENSE DROG [F0182]
02501297000102,PHARLAB INDUSTRIA FARMACEUTICA S.A,8,PHARLAB INDUSTRIA FARMAC [F0183]
02501297000528,PHARLAB INDUSTRIA FARMACEUTICA S.A,2,PHARLAB INDUSTRIA FARMAC [F0184]
02507452000190,SC -BRINDES LTDA,11,SC -BRINDES LTDA [F0185]
02512121000148,CENTRO CATARINENSE DE APOIO A AUDICAO LTDA,1,CENTRO CATARINENSE DE AP [F0186]
02513899000171,GRIFOLS BRASIL LTDA,15,GRIFOLS BRASIL LTDA [F0187]
02513899000252,GRIFOLS BRASIL LTDA,12,GRIFOLS BRASIL LTDA [F0188]
02513899000414,GRIFOLS BRASIL LTDA,9,GRIFOLS BRASIL LTDA [F0189]
02520218000100,ANDREONI TEXTIL LTDA,2,ANDREONI TEXTIL LTDA [F0190]
02520829000140,DIMASTER - COMERCIO DE PRODUTOS HOSPITALARES LTDA.,4144,DIMASTER - COMERCIO DE P [F0191]
02520829000302,DIMASTER - COMERCIO DE PRODUTOS HOSPITALARES LTDA.,457,DIMASTER - COMERCIO DE P [F0192]
02520829000493,DIMASTER - COMERCIO DE PRODUTOS HOSPITALARES LTDA.,59,DIMASTER - COMERCIO DE P [F0193]
02527107000118,G V S DO BRASIL LTDA,1,G V S DO BRASIL LTDA [F0194]
02537890000109,COFARMINAS COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,266,COFARMINAS COMERCIO DE P [F0195]
02564852000137,LOBIANCO COMERCIO DE MEDICAMENTOS LTDA,185,LOBIANCO COMERCIO DE MED [F0196]
02582267000160,"NAYR INDUSTRIA, COMERCIO E DISTRIBUICAO DE PRODUTOS LTDA",2,"NAYR INDUSTRIA, COMERCIO [F0197]"
02600770000109,COMERCIAL VALFARMA LTDA,42,COMERCIAL VALFARMA LTDA [F0198]
02605669000132,ROSANGELA SOARES SARDINHA CORNETTA,1,ROSANGELA SOARES SARDINH [F0199]
02607956000181,ANGEOMED COMERCIO DE PRODUTOS MEDICO HOSPITALAR LTDA,71,ANGEOMED COMERCIO DE PRO [F0200]
02608793000151,"EXCELLENCE MEDICAL COMERCIO, IMPORTACAO E EXPORTACAO LTDA",14,EXCELLENCE MEDICAL COMER [F0201]
02626340000158,ART MEDICA COMERCIO E REPRESENTACOES DE PRODUTOS HOSPITALARES LTDA.,1,ART MEDICA COMERCIO E RE [F0202]
02662841000190,MASTERMED COMERCIAL LTDA,6,MASTERMED COMERCIAL LTDA [F0203]
02668300000179,BIOSAUDE PRODUTOS HOSPITALARES LTDA,2,BIOSAUDE PRODUTOS HOSPIT [F0204]
02683235000150,CENTRO OESTE COMERCIO E SERVICOS LTDA,3,CENTRO OESTE COMERCIO E  [F0205]
02684044000103,CEZAR MARIANO,20,CEZAR MARIANO [F0206]
02706629000187,BRIOJARAGUA COM PRODUTOS DE LIMPEZA E HIGIENE LTDA,1,BRIOJARAGUA COM PRODUTOS [F0207]
02715655000171,CIRURCENTER PRODUTOS HOSPITALARES LTDA,5,CIRURCENTER PRODUTOS HOS [F0208]
02771547000116,NATAN COMERCIO LTDA,2,NATAN COMERCIO LTDA [F0209]
02776642000102,PESENTI & PELAIS LTDA,2,PESENTI & PELAIS LTDA [F0210]
02786436000183,HUMANA ALIMENTAR - DISTRIBUIDORA DE MEDICAMENTOS E PRODUTOS NUTRICIONAIS LTDA.,8,HUMANA ALIMENTAR - DISTR [F0211]
02794555000420,COLOPLAST DO BRASIL LTDA,14,COLOPLAST DO BRASIL LTDA [F0212]
02799882000122,LOTUS INDUSTRIA E COMERCIO LTDA.,12,LOTUS INDUSTRIA E COMERC [F0213]
02800122000198,CIRURGICA BEZERRA DISTRIBUIDORA LTDA,2,CIRURGICA BEZERRA DISTRI [F0214]
02814497000107,CIMED INDUSTRIA S.A.,37,CIMED INDUSTRIA S.A. [F0215]
02814497000298,CIMED INDUSTRIA S.A.,19,CIMED INDUSTRIA S.A. [F0216]
02814497000379,CIMED INDUSTRIA S.A.,6,CIMED INDUSTRIA S.A. [F0217]
02814497000700,CIMED INDUSTRIA S.A.,355,CIMED INDUSTRIA S.A. [F0218]
02814497001260,CIMED INDUSTRIA S.A.,49,CIMED INDUSTRIA S.A. [F0219]
02816696000154,PONTAMED FARMACEUTICA LTDA,5535,PONTAMED FARMACEUTICA LT [F0220]
02823683000102,CAPRICORN TECHNOLOGIES DO BRASIL LTDA,1,CAPRICORN TECHNOLOGIES D [F0221]
02835723000136,FSA MEDICAL SOLUCOES EM SAUDE E PRODUTOS HOSPITALARES LTDA,3,FSA MEDICAL SOLUCOES EM  [F0222]
02842909000112,SANEWS DISTRIBUIDORA LTDA,1,SANEWS DISTRIBUIDORA LTD [F0223]
02858842000104,DML DISTRIBUICAO LTDA,1,DML DISTRIBUICAO LTDA [F0224]
02863499000196,I. A. SAVOLDI JUNIOR & CIA. LTDA,1,I. A. SAVOLDI JUNIOR & C [F0225]
02873606000167,ALMINHANA COMERCIO E REPRESENTACAO LTDA,18,ALMINHANA COMERCIO E REP [F0226]
02881877000164,POLAR FIX INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA,12,POLAR FIX INDUSTRIA E CO [F0227]
02881877000407,POLAR FIX INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA,1,POLAR FIX INDUSTRIA E CO [F0228]
02896042000188,REALMED COMERCIO DE PRODUTOS MEDICOS E HOSPITALARES LTDA,3,REALMED COMERCIO DE PROD [F0229]
