instituicao_id,instituicao,ocorrencias,rotulo
10257028000162,FUNDO MUNICIPAL DE SAUDE,14,FUNDO MUNICIPAL DE SAUDE [I0225]
10264406000135,MUNICIPIO DE PESQUEIRA,28,MUNICIPIO DE PESQUEIRA [I0226]
10277035000126,FUNDO MUNICIPAL DE SAUDE,227,FUNDO MUNICIPAL DE SAUDE [I0227]
10291177000148,MUNICIPIO DE RIO FORMOSO,887,MUNICIPIO DE RIO FORMOSO [I0228]
10291345000103,FUNDO MUNICIPAL DE SAUDE DE PRIMAVERA,64,FUNDO MUNICIPAL DE SAUDE [I0229]
10292209000120,MUNICIPIO DE SIRINHAEM,219,MUNICIPIO DE SIRINHAEM [I0230]
10298603000175,FUNDO MUNICIPAL DE SAUDE,373,FUNDO MUNICIPAL DE SAUDE [I0231]
10316445000139,FUNDO MUNICIPAL DE SAUDE,7,FUNDO MUNICIPAL DE SAUDE [I0232]
10319517000100,FUNDO MUNICIPAL DE SAUDE DE PORTO DA FOLHA,503,FUNDO MUNICIPAL DE SAUDE [I0233]
10373665000102,FUNDO MUNICIPAL DE SAUDE DE ARAUCARIA,139,FUNDO MUNICIPAL DE SAUDE [I0234]
10380316000100,FUNDO MUNICIPAL DE SAUDE DE QUINTA DO SOL,22,FUNDO MUNICIPAL DE SAUDE [I0235]
10381732000122,FUNDO MUNICIPAL DE SAUDE,29,FUNDO MUNICIPAL DE SAUDE [I0236]
10382118000185,FUNDO MUNICIPAL DE SAUDE DE DIAMANTE,139,FUNDO MUNICIPAL DE SAUDE [I0237]
10398439000178,FUNDO MUNICIPAL DE SAUDE,145,FUNDO MUNICIPAL DE SAUDE [I0238]
10411736000106,FUNDO MUNICIPAL DE SAUDE,706,FUNDO MUNICIPAL DE SAUDE [I0239]
10414835000141,FMS - FUNDO MUNICIPAL DE SAUDE DE LINHARES,351,FMS - FUNDO MUNICIPAL DE [I0240]
10417698000107,FUNDO MUNICIPAL DE SAUDE DE ITAMBE,481,FUNDO MUNICIPAL DE SAUDE [I0241]
10425754000147,FUNDO MUNICIPAL DE SAUDE DE SANTA LUZIA,383,FUNDO MUNICIPAL DE SAUDE [I0242]
10435993000188,FUNDO MUNICIPAL DE SAUDE DE SAO JOAO DE MERITI,250,FUNDO MUNICIPAL DE SAUDE [I0243]
10460927000168,FUNDO MUNICIPAL DE SAUDE DE CACIMBA DE AREIA,613,FUNDO MUNICIPAL DE SAUDE [I0244]
10473821000107,FUNDO MUNICIPAL DE SAUDE DO MUNICIPIO DE PRINCESA ISABEL,1,FUNDO MUNICIPAL DE SAUDE [I0245]
10484826000127,FUNDO MUNICIPAL DE SAUDE,149,FUNDO MUNICIPAL DE SAUDE [I0246]
10486210000195,FUNDO MUNICIPAL DE SAUDE DE JACARAU,28,FUNDO MUNICIPAL DE SAUDE [I0247]
10493355000113,FUNDO MUNICIPAL DE SAUDE DE DESTERRO,265,FUNDO MUNICIPAL DE SAUDE [I0248]
10505599000179,FUNDO MUNICIPAL DE SAUDE DE BALSA NOVA,319,FUNDO MUNICIPAL DE SAUDE [I0249]
10517867000172,FUNDO MUNICIPAL DE SAUDE,15,FUNDO MUNICIPAL DE SAUDE [I0250]
10530745000116,FUNDO MUNICIPAL DE SAUDE,4,FUNDO MUNICIPAL DE SAUDE [I0251]
10539832000134,FUNDO MUNICIPAL DE SAUDE DE GUADALUPE,515,FUNDO MUNICIPAL DE SAUDE [I0252]
10540697000147,FUNDO MUNICIPAL DE SAUDE DE FORQUILHINHA,649,FUNDO MUNICIPAL DE SAUDE [I0253]
10541009000163,FUNDO MUNICIPAL DE SAUDE DE CACIMBAS,436,FUNDO MUNICIPAL DE SAUDE [I0254]
10552903000139,FUNDO MUNICIPAL DE SAUDE,8,FUNDO MUNICIPAL DE SAUDE [I0255]
10557425000150,FUNDO MUNICIPAL DE SAUDE DE PITIMBU,141,FUNDO MUNICIPAL DE SAUDE [I0256]
10560403000149,MUNICIPIO DE NAZARIA,100,MUNICIPIO DE NAZARIA [I0257]
10566414000136,FUNDO MUNICIPAL DE SAUDE,546,FUNDO MUNICIPAL DE SAUDE [I0258]
10568451000183,FUNDO MUNICIPAL DE SAUDE,58,FUNDO MUNICIPAL DE SAUDE [I0259]
10572048000128,SECRETARIA DE SAUDE,520,SECRETARIA DE SAUDE [I0260]
10572048000209,SECRETARIA DE SAUDE,454,SECRETARIA DE SAUDE [I0261]
10585650000108,FUNDO MUNICIPAL DE SAUDE DE JOAO NEIVA,197,FUNDO MUNICIPAL DE SAUDE [I0262]
10588370000145,FUNDO MUNICIPAL DE SAUDE DE SAO PEDRO DO IVAI,427,FUNDO MUNICIPAL DE SAUDE [I0263]
10589928000107,FUNDO MUNICIPAL DE SAUDE DO BOM JARDIM,229,FUNDO MUNICIPAL DE SAUDE [I0264]
10599648000180,FUNDO MUNICIPAL DE SAUDE DE JOAO ALFREDO,248,FUNDO MUNICIPAL DE SAUDE [I0265]
10601116000130,FUNDO MUNICIPAL DE SAUDE,385,FUNDO MUNICIPAL DE SAUDE [I0266]
10640637000104,MUNICIPIO DE FLORIANO - SECRETARIA DE SAUDE,510,MUNICIPIO DE FLORIANO -  [I0267]
10693916000128,FUNDO MUNICIPAL DE SAUDE - FMS,61,FUNDO MUNICIPAL DE SAUDE [I0268]
10700103000118,FUNDO MUNICIPAL DA SAUDE,1,FUNDO MUNICIPAL DA SAUDE [I0269]
10759784000190,FUNDO MUNICIPAL DE SAUDE DE ALIANCA,266,FUNDO MUNICIPAL DE SAUDE [I0270]
10785644000196,FUNDO MUNICIPAL DE SAUDE DE SAO JOSE DE CAIANA,767,FUNDO MUNICIPAL DE SAUDE [I0271]
10975044000190,FUNDO MUNICIPAL DE SAUDE - FMS,1,FUNDO MUNICIPAL DE SAUDE [I0272]
11073548000188,TORITAMA FUNDO MUNICIPAL DE SAUDE,520,TORITAMA FUNDO MUNICIPAL [I0273]
11079071000148,FUNDO MUNICIPAL DE SAUDE DE BURITIS,736,FUNDO MUNICIPAL DE SAUDE [I0274]
11084263000142,FUNDO MUNICIPAL DE SAUDE,1,FUNDO MUNICIPAL DE SAUDE [I0275]
11095923000190,FUNDO MUNICIPAL DE SAUDE,596,FUNDO MUNICIPAL DE SAUDE [I0276]
11112312000103,FUNDO MUNICIPAL DE SAUDE DE IVINHEMA,1410,FUNDO MUNICIPAL DE SAUDE [I0277]
11120699000140,FUNDO MUNICIPAL DE SAUDE,215,FUNDO MUNICIPAL DE SAUDE [I0278]
11144705000107,FUNDO MUNICIPAL DE SAUDE DE ARRAIAL DO CABO,7,FUNDO MUNICIPAL DE SAUDE [I0279]
11153600000106,FUNDO MUNICIPAL DE SAUDE,346,FUNDO MUNICIPAL DE SAUDE [I0280]
11155765000117,FUNDO MUNICIPAL DE SAUDE,864,FUNDO MUNICIPAL DE SAUDE [I0281]
11159820000147,FUNDO MUNICIPAL DE SAUDE DE BRANQUINHA,140,FUNDO MUNICIPAL DE SAUDE [I0282]
11160486000141,FUNDO MUNICIPAL DE SAUDE,5,FUNDO MUNICIPAL DE SAUDE [I0283]
11161074000126,FUNDO MUNICIPAL DE SAUDE,212,FUNDO MUNICIPAL DE SAUDE [I0284]
11164805000197,FUNDO MUNICIPAL DE SAUDE,609,FUNDO MUNICIPAL DE SAUDE [I0285]
11168783000133,FUNDO MUNICIPAL DE SAUDE DO CABO DE SANTO AGOSTINHO,178,FUNDO MUNICIPAL DE SAUDE [I0286]
11171199000137,FUNDO MUNICIPAL DE SAUDE DO MUNICIPIO DE PILAR,885,FUNDO MUNICIPAL DE SAUDE [I0287]
11174552000132,FUNDO MUNICIPAL DE SAUDE DE ITAPORANGA,858,FUNDO MUNICIPAL DE SAUDE [I0288]
11176515000163,FUNDO MUNICIPAL DE SAUDE,186,FUNDO MUNICIPAL DE SAUDE [I0289]
11186410000195,FUNDO MUNICIPAL DE SAUDE DE BELTERRA,201,FUNDO MUNICIPAL DE SAUDE [I0290]
11190128000181,FUNDO MUNICIPAL DE SAUDE,342,FUNDO MUNICIPAL DE SAUDE [I0291]
11190812000163,FUNDO MUNICIPAL DE SAUDE DE VITORIA DO XINGU,151,FUNDO MUNICIPAL DE SAUDE [I0292]
11194088000146,FUNDO MUNICIPAL DE SAUDE,17,FUNDO MUNICIPAL DE SAUDE [I0293]
11203936000136,FUNDO MUNICIPAL DE SAUDE,451,FUNDO MUNICIPAL DE SAUDE [I0294]
11206680000110,FUNDO MUNICIPAL DE SAUDE DE CANOINHAS,104,FUNDO MUNICIPAL DE SAUDE [I0295]
11209770000165,FUNDO MUNICIPAL DE SAUDE,201,FUNDO MUNICIPAL DE SAUDE [I0296]
11216262000104,FUNDO MUNICIPAL DE SAUDE,1112,FUNDO MUNICIPAL DE SAUDE [I0297]
11224453000118,FUNDO MUNICIPAL DE SAUDE DE PAULO JACINTO,122,FUNDO MUNICIPAL DE SAUDE [I0298]
11227813000135,FUNDO MUNICIPAL DE SAUDE DE SAO JOSE DOS RAMOS,267,FUNDO MUNICIPAL DE SAUDE [I0299]
11243983000103,FUNDO MUNICIPAL DE SAUDE DE PINDOBA,460,FUNDO MUNICIPAL DE SAUDE [I0300]
11248285000109,FUNDO MUNICIPAL DE SAUDE,1264,FUNDO MUNICIPAL DE SAUDE [I0301]
11256054000139,MUNICIPIO DE TORITAMA,234,MUNICIPIO DE TORITAMA [I0302]
11261188000148,FUNDO MUNICIPAL DE SAUDE,127,FUNDO MUNICIPAL DE SAUDE [I0303]
11264342000135,FUNDO MUNICIPAL DE SAUDE DE ITAPUA DO OESTE - RO,738,FUNDO MUNICIPAL DE SAUDE [I0304]
11265919000123,FUNDO MUNICIPAL SAUDE,590,FUNDO MUNICIPAL SAUDE [I0305]
11266975000182,FUNDO MUNICIPAL DE SAUDE,456,FUNDO MUNICIPAL DE SAUDE [I0306]
11270608000152,FUNDO MUNICIPAL DE SAUDE,107,FUNDO MUNICIPAL DE SAUDE [I0307]
11272240000161,FUNDO MUNICIPAL DE SAUDE,71,FUNDO MUNICIPAL DE SAUDE [I0308]
11278364000154,FUNDO MUNICIPAL DE SAUDE,948,FUNDO MUNICIPAL DE SAUDE [I0309]
11289929000107,FUNDO MUNICIPAL DE SAUDE,1512,FUNDO MUNICIPAL DE SAUDE [I0310]
11291694000180,FUNDO MUNICIPAL DE SAUDE,242,FUNDO MUNICIPAL DE SAUDE [I0311]
11292555000170,FUNDO MUNICIPAL DE SAUDE DO MUNICIPIO DE MESSIAS,70,FUNDO MUNICIPAL DE SAUDE [I0312]
11294360000160,MUNICIPIO DE AMARAJI,2167,MUNICIPIO DE AMARAJI [I0313]
11295419000134,FUNDO MUNICIPAL DE SAUDE,36,FUNDO MUNICIPAL DE SAUDE [I0314]
11295659000139,FUNDO MUNICIPAL DE SAUDE DE SAO FELIPE D`OESTE,241,FUNDO MUNICIPAL DE SAUDE [I0315]
11297536000137,FUNDO MUNICIPAL DE SAUDE,914,FUNDO MUNICIPAL DE SAUDE [I0316]
11299001000103,FUNDO MUNICIPAL DE SAUDE DE QUIPAPA,80,FUNDO MUNICIPAL DE SAUDE [I0317]
11306864000152,FUNDO MUNICIPAL DE SAUDE,300,FUNDO MUNICIPAL DE SAUDE [I0318]
11307575000178,FUNDO MUNICIPAL DE SAUDE,2,FUNDO MUNICIPAL DE SAUDE [I0319]
11308894000106,FUNDO MUNICIPAL DE SAUDE,433,FUNDO MUNICIPAL DE SAUDE [I0320]
11321779000163,FUNDO MUNICIPAL DE SAUDE - SALGADINHO - PB,763,FUNDO MUNICIPAL DE SAUDE [I0321]
11323039000166,FUNDO MUNICIPAL DE SAUDE DE BOCA DA MATA,4,FUNDO MUNICIPAL DE SAUDE [I0322]
11323261000169,FUNDO MUNICIPAL DE SAUDE,4,FUNDO MUNICIPAL DE SAUDE [I0323]
11328684000171,FUNDO MUNICIPAL DE SAUDE,686,FUNDO MUNICIPAL DE SAUDE [I0324]
11328835000191,FUNDO MUNICIPAL DE SAUDE DE THEOBROMA,271,FUNDO MUNICIPAL DE SAUDE [I0325]
11334531000137,FUNDO MUNICIPAL DE SAUDE,247,FUNDO MUNICIPAL DE SAUDE [I0326]
11334929000173,FUNDO MUNICIPAL DE SAUDE DA GAMELEIRA,151,FUNDO MUNICIPAL DE SAUDE [I0327]
11348184000100,FUNDO MUNICIPAL DE SAUDE DE PALMEIRAIS - PI,523,FUNDO MUNICIPAL DE SAUDE [I0328]
11348486000170,FUNDO MUNICIPAL DE SAUDE,1,FUNDO MUNICIPAL DE SAUDE [I0329]
11356210000133,FUNDO MUNICIPAL DE SAUDE,494,FUNDO MUNICIPAL DE SAUDE [I0330]
11356696000100,FUNDO MUNICIPAL DE SAUDE DE SAO MATEUS,77,FUNDO MUNICIPAL DE SAUDE [I0331]
11361904000169,MUNICIPIO DE TIMBAUBA,275,MUNICIPIO DE TIMBAUBA [I0332]
11364895000160,FUNDO MUNICIPAL DE SAUDE DE VARZEA GRANDE,258,FUNDO MUNICIPAL DE SAUDE [I0333]
11366609000103,FUNDO MUNICIPAL DE SAUDE,207,FUNDO MUNICIPAL DE SAUDE [I0334]
11367491000120,FUNDO MUNICIPAL DE SAUDE,174,FUNDO MUNICIPAL DE SAUDE [I0335]
11367495000108,FUNDO MUNICIPAL DE SAUDE DO MUNICIPIO DE BREJO GRANDE,432,FUNDO MUNICIPAL DE SAUDE [I0336]
11371082000105,FUNDO MUNICIPAL DE SAUDE,1,FUNDO MUNICIPAL DE SAUDE [I0337]
11372925000180,FUNDO MUNICIPAL DE SAUDE,752,FUNDO MUNICIPAL DE SAUDE [I0338]
11381413000180,FUNDO MUNICIPAL DE SAUDE,660,FUNDO MUNICIPAL DE SAUDE [I0339]
11384276000137,FUNDO MUNICIPAL DE SAUDE DE CALCADO,261,FUNDO MUNICIPAL DE SAUDE [I0340]
11386903000179,FUNDO MUNICIPAL DE SAUDE,243,FUNDO MUNICIPAL DE SAUDE [I0341]
11393101000196,FUNDO MUNICIPAL DE SAUDE,789,FUNDO MUNICIPAL DE SAUDE [I0342]
11401087000125,FUNDO MUNICIPAL DE SAUDE DE CHA PRETA,345,FUNDO MUNICIPAL DE SAUDE [I0343]
11401857000130,FUNDO MUNICIPAL DE SAUDE,336,FUNDO MUNICIPAL DE SAUDE [I0344]
11401979000126,FUNDO MUNICIPAL DE SAUDE,12,FUNDO MUNICIPAL DE SAUDE [I0345]
11402080000128,FUNDO MUNICIPAL DE SAUDE,319,FUNDO MUNICIPAL DE SAUDE [I0346]
11402091000108,FUNDO MUNICIPAL DE SAUDE,351,FUNDO MUNICIPAL DE SAUDE [I0347]
11402806000122,FUNDO MUNICIPAL DE SAUDE,410,FUNDO MUNICIPAL DE SAUDE [I0348]
11406652000147,FUNDO MUNICIPAL DE SAUDE DE CUMARU DO NORTE,269,FUNDO MUNICIPAL DE SAUDE [I0349]
11408007000163,FUNDO MUNICIPAL DE SAUDE DE GROAIRAS,640,FUNDO MUNICIPAL DE SAUDE [I0350]
11408429000139,FUNDO MUNICIPAL DE SAUDE DE PASSO DE CAMARAGIBE,227,FUNDO MUNICIPAL DE SAUDE [I0351]
11412389000107,FUNDO MUNICIPAL DE SAUDE DE TOMAR DO GERU,381,FUNDO MUNICIPAL DE SAUDE [I0352]
11414057000153,FUNDO MUNICIPAL DE SAUDE,54,FUNDO MUNICIPAL DE SAUDE [I0353]
11418606000168,FUNDO MUNICIPAL DE SAUDE,383,FUNDO MUNICIPAL DE SAUDE [I0354]
11418976000103,FUNDO MUNICIPAL DE SAUDE DE LAGOA ALEGRE - PIAUI,28,FUNDO MUNICIPAL DE SAUDE [I0355]
11420456000127,DONA INES - FUNDO MUNICIPAL DE SAUDE,199,DONA INES - FUNDO MUNICI [I0356]
11422073000198,FUNDO MUNICIPAL DE SAUDE DE JUAZEIRO DO NORTE,1361,FUNDO MUNICIPAL DE SAUDE [I0357]
11423181000185,FUNDO MUNICIPAL DE SAUDE DE GUACUI,345,FUNDO MUNICIPAL DE SAUDE [I0358]
11429173000146,FUNDO MUNICIPAL DE SAUDE DE RIO BANANAL,1336,FUNDO MUNICIPAL DE SAUDE [I0359]
11429318000109,FUNDO MUNICIPAL DE SAUDE,69,FUNDO MUNICIPAL DE SAUDE [I0360]
11429331000168,FUNDO MUNICIPAL DE SAUDE,218,FUNDO MUNICIPAL DE SAUDE [I0361]
11429927000168,FUNDO MUNICIPAL DE SAUDE DE CRUZ DAS ALMAS,69,FUNDO MUNICIPAL DE SAUDE [I0362]
11430018000140,FUNDO ESTADUAL DE SAUDE DE PERNAMBUCO,22,FUNDO ESTADUAL DE SAUDE  [I0363]
11431661000198,FUNDO MUNICIPAL DE SAUDE DE BOA ESPERANCA,159,FUNDO MUNICIPAL DE SAUDE [I0364]
11432702000160,FUNDO MUNICIPAL DE SAUDE DE PARIPUEIRA,6,FUNDO MUNICIPAL DE SAUDE [I0365]
11436548000103,FUNDO MUNICIPAL DE SAUDE - CONGO - PARAIBA,116,FUNDO MUNICIPAL DE SAUDE [I0366]
11441605000134,FUNDO MUNICIPAL DE SAUDE DE OURILANDIA DO NORTE,496,FUNDO MUNICIPAL DE SAUDE [I0367]
11446327000108,FUNDO MUNICIPAL DE SAUDE,38,FUNDO MUNICIPAL DE SAUDE [I0368]
11447587000106,FUNDO MUNICIPAL DE SAUDE DE MORAUJO,43,FUNDO MUNICIPAL DE SAUDE [I0369]
11453233000166,FUNDO MUNICIPAL DE SAUDE - MURITIBA,117,FUNDO MUNICIPAL DE SAUDE [I0370]
11462050000107,FUNDO MUNICIPAL DE SAUDE DE SALGADO DE SAO FELIX,382,FUNDO MUNICIPAL DE SAUDE [I0371]
11462395000160,FUNDO MUNICIPAL DE SAUDE DE CONCEICAO DE CANINDE,631,FUNDO MUNICIPAL DE SAUDE [I0372]
11463735000178,FUNDO MUNICIPAL DE SAUDE DE CROATA,168,FUNDO MUNICIPAL DE SAUDE [I0373]
11465675000122,FUNDO MUNICIPAL DE SAUDE DE SERINGUEIRAS,1312,FUNDO MUNICIPAL DE SAUDE [I0374]
11471451000123,FUNDO MUNICIPAL DE SAUDE,671,FUNDO MUNICIPAL DE SAUDE [I0375]
11472134000121,FUNDO MUNICIPAL DE SAUDE DE FEIRA NOVA,746,FUNDO MUNICIPAL DE SAUDE [I0376]
11478439000140,FUNDO MUNICIPAL DE SAUDE DE CAMPO NOVO DE RONDONIA,101,FUNDO MUNICIPAL DE SAUDE [I0377]
11485023000150,FUNDO MUNICIPAL DE SAUDE DE CUJUBIM,258,FUNDO MUNICIPAL DE SAUDE [I0378]
11490142000109,FUNDO MUNICIPAL DE SAUDE,1243,FUNDO MUNICIPAL DE SAUDE [I0379]
11490408000105,FUNDO MUNICIPAL DE SAUDE,248,FUNDO MUNICIPAL DE SAUDE [I0380]
11497605000156,FUNDO MUNICIPAL DE SAUDE,415,FUNDO MUNICIPAL DE SAUDE [I0381]
11502951000185,FUNDO MUNICIPAL DE SAUDE DE GOVERNADOR JORGE TEIXEIRA,7,FUNDO MUNICIPAL DE SAUDE [I0382]
11508022000183,FUNDO MUNICIPAL DE SAUDE,629,FUNDO MUNICIPAL DE SAUDE [I0383]
11513856000187,AUTARQUIA MUNICIPAL DE SAUDE DE CAMBIRA,1113,AUTARQUIA MUNICIPAL DE S [I0384]
11514360000128,FUNDO MUNICIPAL DE SAUDE,179,FUNDO MUNICIPAL DE SAUDE [I0385]
11523119000165,FUNDO MUNICIPAL DE SAUDE,51,FUNDO MUNICIPAL DE SAUDE [I0386]
11538959000100,FUNDO MUNICIPAL DE SAUDE SAO JOSE DA LAJE,50,FUNDO MUNICIPAL DE SAUDE [I0387]
11544537000139,FUNDO MUNICIPAL DE SAUDE,6,FUNDO MUNICIPAL DE SAUDE [I0388]
11546530000156,FUNDO MUNICIPAL DE SAUDE,872,FUNDO MUNICIPAL DE SAUDE [I0389]
11588202000112,FUNDO MUNICIPAL DE SAUDE DE SERRA GRANDE,515,FUNDO MUNICIPAL DE SAUDE [I0390]
11594727000160,FUNDO MUNICIPAL DE SAUDE,1750,FUNDO MUNICIPAL DE SAUDE [I0391]
11601645000104,FUNDO MUNICIPAL DE SAUDE,52,FUNDO MUNICIPAL DE SAUDE [I0392]
11607836000175,FUNDO MUNICIPAL DE SAUDE DE AMARAJI,432,FUNDO MUNICIPAL DE SAUDE [I0393]
11639262000117,FUNDO MUNICIPAL DE SAUDE DE CAPELA,769,FUNDO MUNICIPAL DE SAUDE [I0394]
11655026000194,FUNDO MUNICIPAL DE SAUDE,429,FUNDO MUNICIPAL DE SAUDE [I0395]
11664446000137,FUNDO MUNICIPAL DE SAUDE,1193,FUNDO MUNICIPAL DE SAUDE [I0396]
11676238000158,FUNDO MUNICIPAL DE SAUDE,303,FUNDO MUNICIPAL DE SAUDE [I0397]
11685421000110,FUNDO MUNICIPAL DE SAUDE DE BAYEUX,385,FUNDO MUNICIPAL DE SAUDE [I0398]
11701954000148,FUNDO MUNICIPAL DE SAUDE DE PEDRINHAS,308,FUNDO MUNICIPAL DE SAUDE [I0399]
11706451000165,FUNDO MUNICIPAL DE SAUDE -PAROBE/RS,259,FUNDO MUNICIPAL DE SAUDE [I0400]
11718406000120,FUNDO MUNICIPAL DE SAUDE,5417,FUNDO MUNICIPAL DE SAUDE [I0401]
11739873000137,FMS DE GURINHEM,5,FMS DE GURINHEM [I0402]
11770182000104,FUNDO MUNICIPAL DE SAUDE DE GUARAPARI,753,FUNDO MUNICIPAL DE SAUDE [I0403]
11779393000108,FUNDO MUNICIPAL DA SAUDE DE RIO CRESPO,236,FUNDO MUNICIPAL DA SAUDE [I0404]
11782445000197,FUNDO MUNICIPAL DE SAUDE DE OROS,2,FUNDO MUNICIPAL DE SAUDE [I0405]
11795661000177,FUNDO MUNICIPAL DE SAUDE,390,FUNDO MUNICIPAL DE SAUDE [I0406]
11811613000125,FUNDO MUNICIPAL DE SAUDE,417,FUNDO MUNICIPAL DE SAUDE [I0407]
11812868000102,FUNDO MUNICIPAL DE SAUDE,98,FUNDO MUNICIPAL DE SAUDE [I0408]
11816665000194,FUNDO MUNICIPAL DE SAUDE DE ESTANCIA/SE,4,FUNDO MUNICIPAL DE SAUDE [I0409]
11822633000100,FUNDO MUNICIPAL DE SAUDE DE JAGUARE,97,FUNDO MUNICIPAL DE SAUDE [I0410]
11822995000192,FUNDO MUNICIPAL DE SAUDE DE SAPUCAIA,447,FUNDO MUNICIPAL DE SAUDE [I0411]
11832051000104,FUNDO MUNICIPAL DE SAUDE DO MUNICIPIO DE AREIA DE BARAUNAS,118,FUNDO MUNICIPAL DE SAUDE [I0412]
11835031000189,FUNDO MUNICIPAL DE SAUDE,164,FUNDO MUNICIPAL DE SAUDE [I0413]
11837925000108,FUNDO MUNICIPAL DE SAUDE,5,FUNDO MUNICIPAL DE SAUDE [I0414]
11843644000168,FUNDO MUNICIPAL DE SAUDE DO MUNICIPIO DE GUATAPARA,183,FUNDO MUNICIPAL DE SAUDE [I0415]
11850969000178,FUNDO MUNICIPAL DE SAUDE DE NOSSA SENHORA DA GLORIA,206,FUNDO MUNICIPAL DE SAUDE [I0416]
11855524000180,FUNDO MUNICIPAL DE SAUDE DE ITAGUAI - FMSI,1794,FUNDO MUNICIPAL DE SAUDE [I0417]
11855813000180,FUNDO MUNICIPAL DE SAUDE,45,FUNDO MUNICIPAL DE SAUDE [I0418]
11870137000113,FUNDO MUNICIPAL DE SAUDE DE CAMOCIM DE SAO FELIX,124,FUNDO MUNICIPAL DE SAUDE [I0419]
11876352000121,FUNDO MUNICIPAL DE SAUDE DE CACAULANDIA,262,FUNDO MUNICIPAL DE SAUDE [I0420]
11884818000130,FUNDO MUNICIPAL DE SAUDE DE OBIDOS,35,FUNDO MUNICIPAL DE SAUDE [I0421]
11892520000172,FUNDO MUNICIPAL DE SAUDE DE BASTOS,1004,FUNDO MUNICIPAL DE SAUDE [I0422]
11895474000165,FUNDO MUNICIPAL DE SAUDE,1,FUNDO MUNICIPAL DE SAUDE [I0423]
11899610000195,FUNDO MUNICIPAL DE SAUDE DE URUARA,327,FUNDO MUNICIPAL DE SAUDE [I0424]
11907806000184,FUNDO MUNICIPAL DE SAUDE DE TACIMA,56,FUNDO MUNICIPAL DE SAUDE [I0425]
11913577000100,FUNDO MUNICIPAL DE SAUDE DE ALTO ALEGRE DOS PARECIS,616,FUNDO MUNICIPAL DE SAUDE [I0426]
11918033000131,FUNDO MUNICIPAL SAUDE DE VIANOPOLIS,14,FUNDO MUNICIPAL SAUDE DE [I0427]
11957240000103,FUNDO MUNICIPAL DE SAUDE DE MONTE NEGRO,1237,FUNDO MUNICIPAL DE SAUDE [I0428]
11966012000191,FUNDO MUNICIPAL DE SAUDE DE MONCOES,1105,FUNDO MUNICIPAL DE SAUDE [I0429]
11970318000111,FUNDO MUNICIPAL DE SAUDE DE CORURIPE,27,FUNDO MUNICIPAL DE SAUDE [I0430]
11975218000188,FUNDO MUNICIPAL DE SAUDE DO MUNICIPIO DE RIACHAO DO POCO,101,FUNDO MUNICIPAL DE SAUDE [I0431]
11980140000190,FUNDO MUNICIPAL DE SAUDE DE MONSENHOR GIL,275,FUNDO MUNICIPAL DE SAUDE [I0432]
12011137000120,FUNDO MUNICIPAL DE SAUDE DE RIACHAO,330,FUNDO MUNICIPAL DE SAUDE [I0433]
12011652000100,SSFUNDO MUNICIPAL DE SAUDE DE SERRARIA - PB,441,SSFUNDO MUNICIPAL DE SAU [I0434]
12012235000182,FUNDO MUNICIPAL DE SAUDE,241,FUNDO MUNICIPAL DE SAUDE [I0435]
12013802000115,FUNDO MUNICIPAL DE SAUDE,420,FUNDO MUNICIPAL DE SAUDE [I0436]
12014954000132,FUNDO MUNICIPAL DE SAUDE DE MENDES,130,FUNDO MUNICIPAL DE SAUDE [I0437]
12021434000157,FUNDO MUNICIPAL DE SAUDE DE JARAGUARI,69,FUNDO MUNICIPAL DE SAUDE [I0438]
12022274000160,FUNDO MUNICIPAL DE SAUDE-FMS,89,FUNDO MUNICIPAL DE SAUDE [I0439]
12024740000147,FUNDO MUNICIPAL DE SAUDE,259,FUNDO MUNICIPAL DE SAUDE [I0440]
12051399000119,FUNDO MUNICIPAL DE SAUDE DE PEDRA BRANCA,680,FUNDO MUNICIPAL DE SAUDE [I0441]
12075748000132,CONSORCIO INTERMUNICIPAL CATARINENSE-CIMCATARINA,5964,CONSORCIO INTERMUNICIPAL [I0442]
12157728000100,FUNDO MUNICIPAL DE SAUDE DE VILA VELHA - F M S,307,FUNDO MUNICIPAL DE SAUDE [I0443]
12200283000102,MUNICIPIO DE MESSIAS,1015,MUNICIPIO DE MESSIAS [I0444]
12200333000143,MUNICIPIO DE SATUBA,666,MUNICIPIO DE SATUBA [I0445]
12219015000124,FUNDO MUNICIPAL DE SAUDE DE ITABAIANA SERGIPE,448,FUNDO MUNICIPAL DE SAUDE [I0446]
12225481000112,FUNDO MUNICIPAL DE SAUDE,174,FUNDO MUNICIPAL DE SAUDE [I0447]
12225915000184,FUNDO MUNICIPAL DE SAUDE DE CALDAZINHA,121,FUNDO MUNICIPAL DE SAUDE [I0448]
12240308000193,FUNDO MUNICIPAL DE SAUDE DO MUNICIPIO DE MIGUEL PEREIRA,89,FUNDO MUNICIPAL DE SAUDE [I0449]
12262713000102,MUNICIPIO DE BARRA DE SANTO ANTONIO,317,MUNICIPIO DE BARRA DE SA [I0450]
12262739000150,MUNICIPIO DE JOAQUIM GOMES,346,MUNICIPIO DE JOAQUIM GOM [I0451]
12292556000188,FUNDO MUNICIPAL DE SAUDE DE CABO FRIO,185,FUNDO MUNICIPAL DE SAUDE [I0452]
12306005000126,FUNDO MUNICIPAL DE SAUDE,766,FUNDO MUNICIPAL DE SAUDE [I0453]
12332953000136,MUNICIPIO DE MURICI,14,MUNICIPIO DE MURICI [I0454]
