instituicao_id,instituicao,ocorrencias,rotulo
02458170000140,MUNICIPIO DE BERTOLINIA - SECRETARIA DE SAUDE,30,MUNICIPIO DE BERTOLINIA  [I0050]
02466144000163,SECRETARIA DA SAUDE DO ESTADO DA BAHIA SESAB,5,SECRETARIA DA SAUDE DO E [I0051]
02493318000187,CONSORCIO INTERMUNICIPAL DO MEDIO ALTO URUGUAI,1887,CONSORCIO INTERMUNICIPAL [I0052]
02529964000157,SECRETARIA DE ESTADO DA SAUDE,419,SECRETARIA DE ESTADO DA  [I0053]
02545932000145,MUNICIPIO DE ARRAIAL - SECRETARIA DE SAUDE E SANEAMENTO,465,MUNICIPIO DE ARRAIAL - S [I0054]
02703617000107,MUNICIPIO DE CAMPINAS DO PIAUI - SECRETARIA DE SAUDE,450,MUNICIPIO DE CAMPINAS DO [I0055]
02852126000110,MUNICIPIO DE ELISEU MARTINS - SECRETARIA DE SAUDE,366,MUNICIPIO DE ELISEU MART [I0056]
02861127000120,MUNICIPIO DE BATALHA-SECRETARIA MUNICIPAL DE SAUDE E SANEAMENTO BASICO,164,MUNICIPIO DE BATALHA-SEC [I0057]
02911953000137,FUNDO MUNICIPAL DE SAUDE DE SAPUCAIA,309,FUNDO MUNICIPAL DE SAUDE [I0058]
02930318000105,MUNICIPIO DE SEBASTIAO LEAL - SECRETARIA DE SAUDE,1024,MUNICIPIO DE SEBASTIAO L [I0059]
02973240000106,ESTADO DO MARANHAO - SECRETARIA DE ESTADO DA SAUDE,36,ESTADO DO MARANHAO - SEC [I0060]
03073673000160,MUNICIPIO DE BONITO,110,MUNICIPIO DE BONITO [I0061]
03118011000169,MUNICIPIO DE DOMINGOS MOURAO - SECRETARIA MUNICIPAL DE SAUDE,3,MUNICIPIO DE DOMINGOS MO [I0062]
03265143000113,SECRETARIA MUNICIPAL DE SAUDE,22,SECRETARIA MUNICIPAL DE  [I0063]
03269695000108,CONSORCIO INTERMUNIC DE SAUDE DO MEDIO VALE DO ITAJAI,948,CONSORCIO INTERMUNIC DE  [I0064]
03273207000128,CONSORCIO INTERGESTORES PARANA SAUDE,528,CONSORCIO INTERGESTORES  [I0065]
03330461000110,MUNICIPIO DE CORUMBA,400,MUNICIPIO DE CORUMBA [I0066]
